Date,Price,Open,High,Low,Vol.,Change %,return
1-Jan-19,368.3,370,376,363,94.88K,0.27%,0.00272257
2-Jan-19,365.6,368,368,364.5,67.02K,-0.73%,-0.00733098
3-Jan-19,365.4,365,368.7,364.2,136.49K,-0.05%,-0.000547046
6-Jan-19,373,367.7,373.5,367.7,129.68K,2.08%,0.020799124
7-Jan-19,372.1,375,376,371.3,474.94K,-0.24%,-0.002412869
8-Jan-19,379.7,374,381.6,374,383.68K,2.04%,0.020424617
9-Jan-19,382.7,382,383.5,379.3,404.45K,0.79%,0.007900974
10-Jan-19,388.9,383.2,390,383.2,306.94K,1.62%,0.016200679
13-Jan-19,389.9,390,395,388,247.26K,0.26%,0.002571355
14-Jan-19,389.3,391,391,387.4,332.46K,-0.15%,-0.001538856
15-Jan-19,387.1,390,390,384,132.04K,-0.57%,-0.005651169
16-Jan-19,382.6,387.1,387.1,379.5,171.93K,-1.16%,-0.011624903
17-Jan-19,375.1,382,382.1,374.4,187.59K,-1.96%,-0.019602718
20-Jan-19,385.2,375,388,372,114.96K,2.69%,0.026926153
21-Jan-19,384.6,387,390.8,383.1,174.83K,-0.16%,-0.001557632
22-Jan-19,388.9,384,390.9,384,250.42K,1.12%,0.011180447
23-Jan-19,391.5,391,395,388,323.92K,0.67%,0.006685523
24-Jan-19,395.5,391.3,396.9,391.3,317.12K,1.02%,0.010217114
27-Jan-19,393.6,397,400,390.3,314.40K,-0.48%,-0.004804046
28-Jan-19,409.5,398,410.4,395.5,1.11M,4.04%,0.040396341
29-Jan-19,415.4,411,419.9,411,614.76K,1.44%,0.014407814
30-Jan-19,413.8,414.4,417.9,408.9,562.26K,-0.39%,-0.003851709
31-Jan-19,398.2,414,414,393.2,690.31K,-3.77%,-0.037699372
3-Feb-19,394,398.2,398.2,391.5,665.44K,-1.05%,-0.010547464
4-Feb-19,402,396,407.7,395,386.44K,2.03%,0.020304569
5-Feb-19,403.5,403,405,398,255.64K,0.37%,0.003731343
6-Feb-19,404.9,403.6,407.8,403.2,300.28K,0.35%,0.003469641
7-Feb-19,405.5,407,409,403,274.10K,0.15%,0.001481847
10-Feb-19,406.1,405.7,412.5,405.1,269.31K,0.15%,0.001479655
11-Feb-19,397.6,405,405,395.6,349.72K,-2.09%,-0.020930805
12-Feb-19,388.6,397,400,385.4,465.84K,-2.26%,-0.022635815
13-Feb-19,392.9,388,394,384.3,326.75K,1.11%,0.011065363
14-Feb-19,389.9,395,397.9,386.5,298.18K,-0.76%,-0.007635531
17-Feb-19,389.9,389.9,389.9,389.9,-,0.00%,0
18-Feb-19,377.1,377,379.7,371.2,419.54K,-3.28%,-0.03282893
