Date,Price,Open,High,Low,Vol.,Change %
2-Jan-18,221.16,221.02,222.45,220,3.48M,0.32%
3-Jan-18,223.48,221.62,223.81,220.52,2.42M,1.05%
4-Jan-18,224.45,224.34,226.1,224.17,2.75M,0.43%
5-Jan-18,228.73,225.19,229.05,224.72,2.43M,1.91%
8-Jan-18,224.76,228.13,228.71,224.61,2.85M,-1.74%
9-Jan-18,225.88,224.76,226.63,223.3,2.67M,0.50%
10-Jan-18,224.2,224.83,225.01,223.03,2.31M,-0.74%
11-Jan-18,225.39,224.18,225.92,223.7,2.54M,0.53%
12-Jan-18,228.64,227.45,229.9,226.52,3.94M,1.44%
16-Jan-18,232.9,233.37,235,231.25,6.85M,1.86%
17-Jan-18,238.43,234.67,238.96,233.85,5.12M,2.37%
18-Jan-18,243.16,239.26,243.9,238.55,6.23M,1.98%
19-Jan-18,243.35,244.18,244.35,241.07,4.29M,0.08%
22-Jan-18,243.56,243.59,243.79,241.36,4.01M,0.09%
23-Jan-18,245.21,242.99,246.98,242.41,3.30M,0.68%
24-Jan-18,244.85,246.01,247.31,243.71,2.73M,-0.15%
25-Jan-18,245.18,244.75,246.19,243.9,2.42M,0.13%
26-Jan-18,248.47,245,248.74,244.46,2.62M,1.34%
29-Jan-18,247.41,249.28,250.79,247.4,2.56M,-0.43%
30-Jan-18,236.65,232.88,242.74,232.1,11.57M,-4.35%
31-Jan-18,236.78,242.84,247,235.76,5.19M,0.05%
1-Feb-18,235.22,235.26,237.82,233.83,4.27M,-0.66%
2-Feb-18,231.88,233,236.3,231.19,3.96M,-1.42%
5-Feb-18,220.02,230.79,233.11,208.48,6.29M,-5.11%
6-Feb-18,225.18,212.2,226.51,210.21,7.06M,2.35%
7-Feb-18,225.82,222.33,229.29,221.51,5.59M,0.28%
8-Feb-18,216.46,225.33,226.63,216.26,4.90M,-4.14%
9-Feb-18,220.96,218,223.28,212.01,6.23M,2.08%
12-Feb-18,225.69,222.44,228,222.15,4.91M,2.14%
13-Feb-18,226.64,223.15,227.12,222.38,3.54M,0.42%
14-Feb-18,228.78,224.95,229.34,223.92,2.88M,0.94%
15-Feb-18,226.02,229.27,230,221.74,4.66M,-1.21%
16-Feb-18,229.37,225.99,230.55,225.7,3.62M,1.48%
20-Feb-18,226.66,227.91,228.75,225.61,3.17M,-1.18%
21-Feb-18,225.13,226.15,229.35,225.11,3.37M,-0.68%
22-Feb-18,227.09,226.3,229.84,225.08,2.77M,0.87%
23-Feb-18,230.16,227.9,230.32,225.91,2.39M,1.35%
26-Feb-18,234.06,231.64,234.51,229.7,3.31M,1.69%
27-Feb-18,232.52,234.4,235.89,232.44,2.90M,-0.66%
28-Feb-18,226.16,234.42,234.75,226.09,4.37M,-2.74%
1-Mar-18,224.45,225.7,229.29,222.74,3.51M,-0.76%
2-Mar-18,225.19,223.21,225.82,222.59,2.61M,0.33%
5-Mar-18,228.38,223.37,229.43,222.79,2.63M,1.42%
6-Mar-18,226.18,228.92,229.15,223.89,2.65M,-0.96%
7-Mar-18,227.27,224.35,227.81,223.75,3.24M,0.48%
8-Mar-18,224.73,227.93,227.99,223.92,3.50M,-1.12%
9-Mar-18,225.43,226.11,226.52,222.5,4.83M,0.31%
12-Mar-18,222.77,226.21,227,222.77,3.12M,-1.18%
13-Mar-18,226.94,223.53,228.06,223.16,3.34M,1.87%
14-Mar-18,225.38,227.13,229.39,225.02,3.05M,-0.69%
15-Mar-18,229.48,225.83,230.76,225.66,3.33M,1.82%
16-Mar-18,227.86,229.66,231.27,227.75,5.69M,-0.71%
19-Mar-18,225.05,227.31,227.97,223.68,3.41M,-1.23%
20-Mar-18,226.78,225.16,227.6,223.88,3.43M,0.77%
21-Mar-18,222.82,226.45,227.44,222.82,3.42M,-1.75%
22-Mar-18,215.21,221.65,221.66,215.1,5.89M,-3.42%
23-Mar-18,212.55,215.75,217.73,212.5,5.74M,-1.24%
26-Mar-18,219.07,215.19,219.41,214.7,3.56M,3.07%
27-Mar-18,217.96,220.32,221.95,216.41,3.72M,-0.51%
28-Mar-18,218.5,218.89,219.91,217.04,3.18M,0.25%
29-Mar-18,214,219.38,223.35,214,5.53M,-2.06%
2-Apr-18,217.2,218.46,222.99,214.63,6.22M,1.50%
3-Apr-18,224.58,220.34,225.1,219.69,4.65M,3.40%
4-Apr-18,228.79,220.69,229.48,220.42,4.67M,1.87%
5-Apr-18,229.07,229.46,231.58,226.79,3.35M,0.12%
6-Apr-18,223.96,226.65,228.19,221.82,3.23M,-2.23%
9-Apr-18,222.73,225.58,226.13,222.36,3.03M,-0.55%
10-Apr-18,226.79,225.4,228.16,223.49,2.77M,1.82%
11-Apr-18,221.9,224.27,225.39,221.69,3.48M,-2.16%
12-Apr-18,224.24,224.04,225.75,223.41,2.66M,1.05%
13-Apr-18,224.28,225.1,226.13,223.08,2.50M,0.02%
16-Apr-18,230.32,227.11,231.85,226.35,4.51M,2.69%
17-Apr-18,238.55,239.31,241.67,236.08,6.18M,3.57%
18-Apr-18,236.4,239,239.74,236.3,2.94M,-0.90%
19-Apr-18,235.76,236.2,238.27,234.8,2.73M,-0.27%
20-Apr-18,235.06,236.05,237.1,233.5,2.84M,-0.30%
23-Apr-18,234.34,235.29,236.21,233.08,3.05M,-0.31%
24-Apr-18,234.22,235.95,237.32,232.56,2.77M,-0.05%
25-Apr-18,234.9,233.45,235.1,230.44,3.12M,0.29%
26-Apr-18,237.03,235.73,237.84,234.33,2.25M,0.91%
27-Apr-18,240.18,237.63,240.54,237.15,2.30M,1.33%
30-Apr-18,236.4,241,241,236.4,3.45M,-1.57%
1-May-18,236.85,237,237.49,234.36,2.63M,0.19%
2-May-18,233.46,235.38,236.21,232.86,3.54M,-1.43%
3-May-18,234.15,231.97,234.8,229.31,2.73M,0.30%
4-May-18,235.9,233.1,236.65,232.16,2.00M,0.75%
7-May-18,233.78,235.88,236.99,232.63,3.24M,-0.90%
8-May-18,232.03,233.72,233.72,230.65,2.70M,-0.75%
9-May-18,229.21,233.05,233.42,228.23,3.50M,-1.22%
10-May-18,233.71,230.15,234.29,229.36,2.17M,1.96%
11-May-18,238.28,233.58,238.8,232.95,3.04M,1.96%
14-May-18,242.9,238.9,243.67,238.82,3.89M,1.94%
15-May-18,239.5,241.86,242.22,238.67,2.40M,-1.40%
16-May-18,241.72,239.65,241.81,238.57,1.91M,0.93%
17-May-18,242.96,241.49,243.56,240.54,2.42M,0.51%
18-May-18,244.64,243.37,244.76,242.39,2.28M,0.69%
21-May-18,247.9,245,249.17,244.84,3.04M,1.33%
22-May-18,245.18,248,248.05,243.84,2.64M,-1.10%
23-May-18,244.26,244.03,245.5,241.63,3.05M,-0.38%
24-May-18,242.73,244.57,245.44,242.2,2.61M,-0.63%
25-May-18,244.95,242.95,245.58,242.44,1.55M,0.91%
29-May-18,242.17,243.86,243.86,240.24,2.84M,-1.13%
30-May-18,244.94,243.74,245.75,242.63,2.07M,1.14%
31-May-18,241.51,244.21,244.75,240.68,2.97M,-1.40%
1-Jun-18,243.35,243.74,243.74,241.29,2.37M,0.76%
4-Jun-18,244.63,244,245.24,242.74,2.19M,0.53%
5-Jun-18,244.43,245.09,245.11,241.91,1.53M,-0.08%
6-Jun-18,248.65,246.32,248.72,245.13,2.65M,1.73%
7-Jun-18,248.98,249.76,250,248.25,2.12M,0.13%
8-Jun-18,250.68,249.46,251.5,248.07,3.03M,0.68%
11-Jun-18,253.78,250.84,254.99,250.4,2.78M,1.24%
12-Jun-18,253.58,253.2,253.94,250.17,2.57M,-0.08%
13-Jun-18,252.87,254.14,256.73,252.48,3.14M,-0.28%
14-Jun-18,255.33,254.47,255.99,253.66,2.46M,0.97%
15-Jun-18,255.98,254.27,255.98,252.56,4.77M,0.25%
18-Jun-18,254.87,254,255.01,252.13,1.96M,-0.43%
19-Jun-18,253.02,252.97,253.3,251.16,2.37M,-0.73%
20-Jun-18,252.81,253.31,253.73,251.88,2.58M,-0.08%
21-Jun-18,251.89,252.95,253.65,250.92,2.15M,-0.36%
22-Jun-18,254.37,252.24,255.11,251.19,2.74M,0.98%
25-Jun-18,250.71,254.36,255.13,248.61,3.06M,-1.44%
26-Jun-18,249.77,250.56,252.47,249.54,2.16M,-0.37%
27-Jun-18,248.17,250.29,251.76,248.13,2.48M,-0.64%
28-Jun-18,244.9,247.13,248,242.23,3.56M,-1.32%
29-Jun-18,245.34,244.9,247.5,244.6,2.79M,0.18%
2-Jul-18,247.48,245,247.73,244.12,1.79M,0.87%
3-Jul-18,246.98,248.3,248.75,246.74,1.25M,-0.20%
5-Jul-18,250.5,249.11,250.93,247.58,2.18M,1.43%
6-Jul-18,250.76,251.01,251.73,249.42,1.57M,0.10%
9-Jul-18,253.67,252.13,254.01,251.05,2.04M,1.16%
10-Jul-18,255.54,254.18,256.9,253.75,2.01M,0.74%
11-Jul-18,254.59,255.14,256,253.74,1.49M,-0.37%
12-Jul-18,256.05,256.18,256.82,254.92,1.59M,0.57%
13-Jul-18,258.7,256.39,259.01,256.02,2.36M,1.03%
16-Jul-18,256.98,258.29,258.45,256.44,3.63M,-0.66%
17-Jul-18,250.29,251.55,252.52,246.27,6.93M,-2.60%
18-Jul-18,255.42,251.11,256.61,250.44,3.36M,2.05%
19-Jul-18,252.93,255.32,256.5,251.85,2.31M,-0.97%
20-Jul-18,252.7,251.17,253.55,251.17,2.01M,-0.09%
23-Jul-18,252.74,252.91,255.23,252.43,1.48M,0.02%
24-Jul-18,253.76,254.86,254.96,252.01,2.48M,0.40%
25-Jul-18,254.86,254.81,255.27,252.76,3.05M,0.43%
26-Jul-18,257,256.25,257.87,255.79,2.02M,0.84%
27-Jul-18,255.95,257.79,257.79,255.39,1.66M,-0.41%
30-Jul-18,253.84,255.91,256.89,253.11,1.68M,-0.82%
31-Jul-18,253.22,254.14,255.2,252.85,2.36M,-0.24%
1-Aug-18,253.37,256.1,256.1,252.81,3.01M,0.06%
2-Aug-18,256.08,253.5,256.3,252.23,1.85M,1.07%
3-Aug-18,257.22,256.45,257.56,254.3,1.42M,0.45%
6-Aug-18,256.76,256.5,257.54,255.47,1.40M,-0.18%
7-Aug-18,257.65,257.64,258.84,257.13,1.46M,0.35%
8-Aug-18,258.81,258.11,259.5,257.92,1.49M,0.45%
9-Aug-18,261.59,259.91,263.02,259.31,2.32M,1.07%
10-Aug-18,260.36,260.49,261.5,259.11,1.63M,-0.47%
13-Aug-18,260.91,261,262.55,260.3,1.64M,0.21%
14-Aug-18,263.48,260.89,264.3,260.85,1.94M,0.99%
15-Aug-18,260.61,261.98,262.69,259.19,2.02M,-1.09%
16-Aug-18,263.1,261.57,263.75,261.45,2.12M,0.96%
17-Aug-18,262.33,263.55,264.13,261.72,1.97M,-0.29%
20-Aug-18,262.4,263,263.49,261.57,1.79M,0.03%
21-Aug-18,261.69,261.85,262.52,260.73,1.56M,-0.27%
22-Aug-18,260.74,261.95,261.95,260.25,2.15M,-0.36%
23-Aug-18,261.42,261.02,262.56,259.56,1.60M,0.26%
24-Aug-18,264.28,261.75,264.78,261.75,2.24M,1.09%
27-Aug-18,267.08,265,267.45,264.42,2.61M,1.06%
28-Aug-18,268.51,268.54,269.14,267.33,2.60M,0.54%
29-Aug-18,269,268.39,269.32,267.25,2.88M,0.18%
30-Aug-18,268.39,269.46,270.17,268.11,2.98M,-0.23%
31-Aug-18,268.46,268.28,269.21,267.2,2.96M,0.03%
4-Sep-18,268.51,268,269.41,266.57,2.10M,0.02%
5-Sep-18,267.64,268.56,268.8,266.93,2.23M,-0.32%
6-Sep-18,269.65,267.6,270.02,266.94,2.56M,0.75%
7-Sep-18,268.28,269.64,271.16,267.51,2.96M,-0.51%
10-Sep-18,259.73,266.78,266.8,258.75,4.15M,-3.19%
11-Sep-18,261.04,257.92,261.42,257.48,2.28M,0.50%
12-Sep-18,262.67,261.12,264.49,260.85,2.24M,0.62%
13-Sep-18,265.49,264.16,265.69,263.42,2.73M,1.07%
14-Sep-18,265.31,265.4,266.65,263.28,2.08M,-0.07%
17-Sep-18,263.87,266.5,266.66,263.41,1.94M,-0.54%
18-Sep-18,263.29,262.93,264.09,262,3.56M,-0.22%
19-Sep-18,265.33,264.47,265.61,263.16,2.27M,0.77%
20-Sep-18,266.39,266.08,267.94,266.06,2.09M,0.40%
21-Sep-18,266.67,266.1,267.84,265.85,5.67M,0.11%
24-Sep-18,267.36,267.01,269.53,266.67,2.70M,0.26%
25-Sep-18,263.51,267.3,267.33,263.03,3.79M,-1.44%
26-Sep-18,262.91,264.5,265.49,262.45,2.24M,-0.23%
27-Sep-18,264.65,263,265.41,262.93,2.76M,0.66%
28-Sep-18,266.04,264.38,266.19,263.85,2.88M,0.53%
1-Oct-18,269.1,267.25,270.02,267.02,3.31M,1.15%
2-Oct-18,270.63,269,271.44,267.5,2.78M,0.57%
3-Oct-18,270.9,272,272.07,269.77,3.00M,0.10%
4-Oct-18,268.32,271,271.62,267.31,2.19M,-0.95%
5-Oct-18,269.2,268.65,271,267.95,2.05M,0.33%
8-Oct-18,269.01,268.84,269.65,265.65,1.86M,-0.07%
9-Oct-18,270.11,269.19,271.95,268.47,2.51M,0.41%
10-Oct-18,263.08,270.6,271.42,262.52,4.27M,-2.60%
11-Oct-18,257.12,262,264.4,255.78,4.56M,-2.27%
12-Oct-18,259.61,259.7,261.39,256.86,4.01M,0.97%
15-Oct-18,260.25,260.13,262.44,259.31,3.58M,0.25%
16-Oct-18,272.57,269.69,272.81,265,6.45M,4.73%
17-Oct-18,267.3,270.19,271,265.63,3.99M,-1.93%
18-Oct-18,266.81,267.35,267.88,263.71,3.13M,-0.18%
19-Oct-18,265.3,266.62,267.98,263.89,3.34M,-0.57%
22-Oct-18,262.19,266.75,266.83,260.06,2.62M,-1.17%
23-Oct-18,264.86,259.72,265.52,259.2,4.08M,1.02%
