Date,Price,Open,High,Low,Vol.,Change %
2-Jan-18,98.59,99.3,99.79,98.52,10.15M,-0.16%
3-Jan-18,99.45,98.85,100,98.77,8.90M,0.87%
4-Jan-18,99.54,99.54,99.78,98.91,6.83M,0.09%
5-Jan-18,100.13,99.64,100.38,99.61,7.28M,0.59%
8-Jan-18,101.61,100.25,101.75,100.21,8.84M,1.48%
9-Jan-18,100.39,102.03,102.35,100.31,7.31M,-1.20%
10-Jan-18,99.67,99.75,99.89,98.53,7.93M,-0.72%
11-Jan-18,100.02,99.7,100.45,98.78,6.54M,0.35%
12-Jan-18,100.87,100.39,101.44,100.3,6.95M,0.85%
16-Jan-18,100.69,101.34,101.91,100.34,7.17M,-0.18%
17-Jan-18,102.7,101.15,102.94,100.7,8.68M,2.00%
18-Jan-18,104.3,104.74,104.94,103.62,12.31M,1.56%
19-Jan-18,104.59,104.64,104.93,103.66,8.38M,0.28%
22-Jan-18,105.45,104.5,105.45,104.04,7.31M,0.82%
23-Jan-18,105.9,105.29,106.14,104.57,8.29M,0.43%
24-Jan-18,105.79,106.35,106.44,104.82,6.82M,-0.10%
25-Jan-18,106.6,105.85,106.81,105.85,5.86M,0.77%
26-Jan-18,108.39,107,108.41,106.68,6.79M,1.68%
29-Jan-18,109.55,108.11,109.98,107.99,8.36M,1.07%
30-Jan-18,107.73,109.14,109.36,107.15,9.18M,-1.66%
31-Jan-18,106.6,107.77,108.18,106.07,9.81M,-1.05%
1-Feb-18,105.52,105.96,106.56,105.18,6.39M,-1.01%
2-Feb-18,104.48,105.15,106.47,104.15,9.25M,-0.99%
5-Feb-18,100.09,103.4,104.61,97.09,12.56M,-4.20%
6-Feb-18,100.9,97.64,101.08,97.25,16.41M,0.81%
7-Feb-18,102.85,100.5,104.59,100.01,11.17M,1.93%
8-Feb-18,100.02,103.23,103.48,100,13.98M,-2.75%
9-Feb-18,99.37,100.53,101.1,96.43,14.18M,-0.65%
12-Feb-18,99.55,100.13,100.44,98.8,9.14M,0.18%
13-Feb-18,100.98,99.33,101.22,99.33,6.62M,1.44%
14-Feb-18,101.7,100.86,102.25,100.21,7.31M,0.71%
15-Feb-18,103.23,102.55,103.64,101.83,7.49M,1.50%
16-Feb-18,104.78,103.09,104.94,101.98,16.06M,1.50%
20-Feb-18,94.11,96.99,97.94,94.1,52.09M,-10.18%
21-Feb-18,91.52,95.11,95.34,91.24,49.50M,-2.75%
22-Feb-18,92.77,91.43,93.39,91.31,20.36M,1.37%
23-Feb-18,92.89,92.88,93.49,91.76,12.79M,0.13%
26-Feb-18,93.12,92.9,93.8,92.22,14.70M,0.25%
27-Feb-18,91.52,93.63,93.72,91.51,13.38M,-1.72%
28-Feb-18,90.01,92,92.1,90,14.14M,-1.65%
1-Mar-18,89.08,90.17,90.18,87.71,18.91M,-1.03%
2-Mar-18,88.77,87.27,88.9,87.24,19.04M,-0.35%
5-Mar-18,89.98,88.14,90.5,88.07,13.38M,1.36%
6-Mar-18,89.06,90.35,90.5,88.63,11.05M,-1.02%
7-Mar-18,87.74,87.98,88.53,87.33,11.45M,-1.48%
8-Mar-18,87.92,87.77,88.13,87.34,9.59M,0.21%
9-Mar-18,88.72,88.24,88.72,87.53,9.75M,0.91%
12-Mar-18,88.07,88.7,89.44,87.88,8.47M,-0.73%
13-Mar-18,88.3,88.39,88.9,87.98,7.17M,0.26%
14-Mar-18,87.67,88.51,88.99,87.5,11.04M,-0.71%
15-Mar-18,87.51,87.68,88.79,85.9,16.62M,-0.18%
16-Mar-18,89.17,87.72,90.09,87.5,28.40M,1.90%
19-Mar-18,87.45,88.91,89.08,87.1,12.05M,-1.93%
20-Mar-18,87.95,87.86,88.15,87.37,8.26M,0.57%
21-Mar-18,88.18,87.89,89.68,87.68,11.84M,0.26%
22-Mar-18,87.14,87.53,88.27,86.99,12.25M,-1.18%
23-Mar-18,85.42,87.35,87.74,85.28,10.13M,-1.97%
26-Mar-18,87.5,86.22,87.69,86.11,9.20M,2.44%
27-Mar-18,86.05,87.96,88.04,85.48,6.55M,-1.66%
28-Mar-18,87.77,86.26,88.24,86.19,11.58M,2.00%
29-Mar-18,88.97,87.9,89.34,87.77,9.27M,1.37%
2-Apr-18,85.55,88,88.24,84.84,19.13M,-3.84%
3-Apr-18,86.8,86.25,86.95,85.55,9.70M,1.46%
4-Apr-18,87.22,85.6,87.5,85.44,6.54M,0.48%
5-Apr-18,87.81,87.6,88.34,87.05,6.38M,0.68%
6-Apr-18,86.69,86.83,87.9,86.13,6.35M,-1.28%
9-Apr-18,86.28,86.85,87.45,86.24,8.37M,-0.47%
10-Apr-18,86.45,86.84,87.1,85.66,9.73M,0.20%
11-Apr-18,85.91,86,86.86,85.8,6.28M,-0.62%
12-Apr-18,85.43,86.19,86.83,85.41,6.86M,-0.56%
13-Apr-18,86.02,85.89,86.27,85.19,7.56M,0.69%
16-Apr-18,86.84,86.2,87.65,86.12,7.02M,0.95%
17-Apr-18,87.9,87.48,88.17,87.41,6.80M,1.22%
18-Apr-18,87.57,88.2,88.56,87.51,5.85M,-0.38%
19-Apr-18,87.89,87.41,88.04,86.58,6.59M,0.37%
20-Apr-18,86.98,87.87,88.38,86.67,8.32M,-1.04%
23-Apr-18,86.1,86.89,87.08,86.02,7.36M,-1.01%
24-Apr-18,86.53,86.77,86.91,85.57,8.47M,0.50%
25-Apr-18,87.17,86.32,87.7,85.89,6.76M,0.74%
26-Apr-18,87.94,87.17,88.32,86.9,5.78M,0.88%
27-Apr-18,87.29,87.87,87.9,87.08,5.65M,-0.74%
30-Apr-18,88.46,87.94,89.66,87.92,8.69M,1.34%
1-May-18,87.41,87.67,88.01,86.35,6.96M,-1.19%
2-May-18,86.34,87.13,87.25,86.16,6.08M,-1.22%
3-May-18,86.23,86.19,86.29,85.12,6.88M,-0.13%
4-May-18,87.53,86,88.1,85.36,6.97M,1.51%
7-May-18,85.47,87.49,87.5,85.27,10.78M,-2.35%
8-May-18,85.74,85.52,85.85,84.92,6.55M,0.32%
9-May-18,83.06,82.56,83.68,82,32.27M,-3.13%
10-May-18,82.69,82.64,83.77,82.01,15.86M,-0.45%
11-May-18,83.38,82.69,83.52,81.95,9.93M,0.83%
14-May-18,84.39,83.89,84.79,83.65,9.50M,1.21%
15-May-18,84.52,84.06,84.88,83.8,9.32M,0.15%
16-May-18,86.13,84.87,86.62,84.74,13.73M,1.90%
