Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,161.45,161.13,162.27,159.15,3.54M,0.88%
4-Jan-17,161.91,162.35,162.58,159.74,2.70M,0.28%
5-Jan-17,162.18,161.75,162.63,161.51,2.96M,0.17%
6-Jan-17,162.41,161.75,162.94,161.11,3.08M,0.14%
9-Jan-17,161.95,162,162.43,160.78,3.04M,-0.28%
10-Jan-17,161.58,161.27,162.98,160.5,3.50M,-0.23%
11-Jan-17,161.89,161.3,162.94,160.61,3.33M,0.19%
12-Jan-17,162.36,161.69,162.94,160.89,2.56M,0.29%
13-Jan-17,161.8,162.16,162.74,161.41,3.18M,-0.34%
17-Jan-17,160.66,162.61,162.97,157.51,5.48M,-0.70%
18-Jan-17,157.74,161.06,161.2,156.09,6.59M,-1.82%
19-Jan-17,158.7,157.74,160.55,157.24,4.98M,0.61%
20-Jan-17,158.66,159.02,159.8,157.81,3.58M,-0.03%
23-Jan-17,159.07,158.62,159.52,156.56,4.06M,0.26%
24-Jan-17,160.43,159.36,161.31,159.1,3.51M,0.85%
25-Jan-17,161.24,160.82,161.98,160.35,3.61M,0.50%
26-Jan-17,162.75,161.86,163.58,161.25,4.20M,0.94%
27-Jan-17,162.99,163.5,163.8,162.62,3.11M,0.15%
30-Jan-17,162.09,162.94,163.46,161.31,2.78M,-0.55%
31-Jan-17,162.1,161.62,162.19,160.01,3.04M,0.01%
1-Feb-17,162.71,162.75,163.9,162.03,3.72M,0.38%
2-Feb-17,160.76,162.52,163.25,160.26,4.71M,-1.20%
3-Feb-17,161.87,161.13,162,160.21,2.76M,0.69%
6-Feb-17,160.51,161.51,162.53,160.22,3.48M,-0.84%
7-Feb-17,160.53,161.05,161.68,159.54,2.94M,0.01%
8-Feb-17,160.31,160,160.63,159.41,2.34M,-0.14%
9-Feb-17,160.44,160.34,161.3,159.56,3.06M,0.08%
10-Feb-17,160.75,160.12,161.59,160.1,1.91M,0.19%
13-Feb-17,161.99,160.69,162.02,160.69,3.28M,0.77%
14-Feb-17,163.13,161.45,163.5,161.25,2.97M,0.70%
15-Feb-17,164.29,162.58,164.89,162.58,4.54M,0.71%
16-Feb-17,163.65,164.78,164.97,162.33,3.19M,-0.39%
17-Feb-17,157.62,159,160.16,156.49,12.03M,-3.68%
21-Feb-17,160.57,157.62,160.81,157.52,5.42M,1.87%
22-Feb-17,160.57,160.91,161.78,159.64,2.73M,0.00%
23-Feb-17,162.6,161.33,162.6,160.69,2.46M,1.26%
24-Feb-17,163.06,162.67,163.09,161.74,2.72M,0.28%
