Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
17-Jan-18,481.4,477.2,483.7,477.2,277.05K,0.33%,476.6769231,475.9212421,472.95,475.9212421,-2.971242072,67.0212766,50.35460993,-67.0212766,1,0.5,0.003334723
18-Jan-18,483.3,482.5,484,480.2,221.42K,0.39%,477.15,476.8435868,474.58125,476.8435868,-2.262336813,77.12765957,67.55319149,-77.12765957,1,0.5,0.003946822
21-Jan-18,487.7,484,489.9,484,275.85K,0.91%,477.8533333,478.2006385,475.0335938,478.2006385,-3.167044712,89.57345972,77.9074653,-89.57345972,1,0.5,0.009104076
22-Jan-18,494.4,489.7,496,485.6,483.35K,1.37%,479.3466667,480.2255587,475.4418945,480.2255587,-4.783664123,94.07407407,86.92506445,-94.07407407,1,0.5,0.013737954
23-Jan-18,503.8,496,504.8,495,744.06K,1.90%,480.96,483.1723638,475.0866577,483.1723638,-8.085706107,97.20670391,93.61807923,-97.20670391,1,0.5,0.019012945
24-Jan-18,505.9,503.8,510,500.2,528.52K,0.42%,482.2866667,486.0133183,474.5633255,486.0133183,-11.44999284,90,93.76025933,-90,1,1,0.004168321
25-Jan-18,510.7,505.8,512,503,549.78K,0.95%,484.4533333,489.0991536,474.1679098,489.0991536,-14.93124374,96.97674419,94.72781603,-96.97674419,0,0.5,0.009488041
28-Jan-18,505.3,510,511.9,501.2,266.73K,-1.06%,486.2533333,491.1242594,474.3969211,491.1242594,-16.72733827,84.41860465,90.46511628,-84.41860465,1,0.5,-0.010573722
29-Jan-18,510.3,505.3,513.1,502.4,348.92K,0.99%,488.7666667,493.5212269,474.597306,493.5212269,-18.92392099,93.65079365,91.6820475,-93.65079365,1,0.5,0.009895112
30-Jan-18,505,511,511,504.1,578.66K,0.99%,491.04,494.9560736,474.4726427,494.9560736,-20.48343086,81.63265306,86.56735045,-81.63265306,0,0.5,-0.010386047
31-Jan-18,502.4,506.9,508,495,416.22K,-0.51%,493.1066667,495.8865644,475.1385624,495.8865644,-20.74800201,73.96593674,83.08312782,-73.96593674,0,0.5,-0.005148515
1-Feb-18,500,504,504,499,385.72K,-0.48%,494.7066667,496.4007438,475.9212421,496.4007438,-20.47950176,67.33167082,74.31008687,-67.33167082,0,0.5,-0.00477707
4-Feb-18,496.3,500.9,500.9,495.1,120.25K,-0.74%,496.06,496.3881508,476.8435868,496.3881508,-19.54456404,58.10473815,66.46744857,-58.10473815,0,0.5,-0.0074
5-Feb-18,496,496,499.9,487,319.17K,-0.06%,497.5533333,496.339632,478.2006385,472,6.200638462,57.35660848,60.93100582,-57.35660848,0,0.5,-0.000604473
6-Feb-18,495.6,495,500,495,144.97K,-0.08%,498.6066667,496.247178,480.2255587,472.95,7.275558654,51.25348189,55.57160951,-51.25348189,1,0.5,-0.000806452
7-Feb-18,497.1,496,499.9,493,149.18K,0.30%,499.6533333,496.3537807,483.1723638,474.58125,8.591113822,51.36778116,53.32595718,-51.36778116,1,0.5,0.003026634
8-Feb-18,500.7,499,503,496.3,295.61K,0.72%,500.8133333,496.8970582,486.0133183,475.0335938,10.97972459,57.38831615,53.3365264,-57.38831615,1,0.5,0.007242004
11-Feb-18,508.7,501,509.4,500.5,166.45K,1.60%,502.2133333,498.3724259,489.0991536,475.4418945,13.65725902,84,64.25203244,-84,0,0.5,0.015977631
12-Feb-18,505.6,509.7,511.1,504.5,455.35K,-0.61%,502.96,499.2758726,491.1242594,475.0866577,16.03760164,71.26436782,70.88422799,-71.26436782,1,0.5,-0.006093965
13-Feb-18,507.7,507.9,508.5,503.9,209.14K,0.42%,503.22,500.3288886,493.5212269,474.5633255,18.95790144,79.31034483,78.19157088,-79.31034483,0,0.5,0.004153481
14-Feb-18,506.1,508.8,511.9,505.5,209.64K,-0.32%,503.2333333,501.0502775,494.9560736,474.1679098,20.78816376,73.18007663,74.58492976,-73.18007663,0,0.5,-0.003151467
15-Feb-18,505.1,507,507,504.6,302.21K,-0.20%,502.86,501.5564928,495.8865644,474.3969211,21.48964329,69.348659,73.94636015,-69.348659,1,0.5,-0.001975894
18-Feb-18,506.7,507.8,508.8,506,197.64K,0.32%,502.9533333,502.1994312,496.4007438,474.597306,21.80343788,75.4789272,72.66922095,-75.4789272,0,0.5,0.00316769
20-Feb-18,492.8,504,504,491,413.47K,-2.74%,501.7866667,501.0245023,496.3881508,474.4726427,21.91550814,23.29317269,56.04025297,-23.29317269,0,0,-0.027432406
22-Feb-18,482,494.9,495,481,191.79K,-2.19%,500.2533333,498.6464395,496.339632,475.1385624,21.20106962,3.236245955,34.00278195,-3.236245955,0,0.5,-0.021915584
