Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-19,243.49,245,246.35,241.47,4.06M,-2.26%,0
3-Jan-19,236.85,243.48,243.48,236.12,4.62M,-2.73%,-0.027270114
4-Jan-19,239.62,239.8,243.46,238.8,5.37M,1.17%,0.011695166
7-Jan-19,240.08,240.4,241.98,238.23,4.13M,0.19%,0.001919706
8-Jan-19,243.29,242.33,244.79,239.71,3.62M,1.34%,0.013370543
9-Jan-19,243.64,244.76,246.63,242.06,3.43M,0.14%,0.001438612
10-Jan-19,244.87,242.08,245.14,241.41,3.37M,0.50%,0.005048432
11-Jan-19,247.67,243.45,247.76,243.27,3.97M,1.14%,0.011434639
14-Jan-19,248.06,246.59,249.92,246.11,4.96M,0.16%,0.001574676
15-Jan-19,256.87,250,256.92,247,5.33M,3.55%,0.035515601
16-Jan-19,261.46,258.73,262.19,258.17,6.07M,1.79%,0.017868961
17-Jan-19,259.77,260.99,261.74,257.89,3.58M,-0.65%,-0.006463704
18-Jan-19,265.5,262.6,266.26,260.42,4.84M,2.21%,0.022057974
22-Jan-19,265.69,264.06,267.5,263.74,4.05M,0.07%,0.000715631
23-Jan-19,267.02,267.75,269.47,263.67,2.97M,0.50%,0.005005834
24-Jan-19,266.13,266.8,268.16,264.26,2.93M,-0.33%,-0.003333084
25-Jan-19,268.05,268.8,270.41,265.7,2.81M,0.72%,0.007214519
28-Jan-19,266.77,266.9,266.93,264.61,2.84M,-0.48%,-0.004775229
29-Jan-19,267.34,266,268.45,265.44,2.17M,0.21%,0.002136672
30-Jan-19,270.37,269.69,272.44,267.19,3.66M,1.13%,0.011333882
31-Jan-19,270.2,270.48,271.74,268.99,4.06M,-0.06%,-0.000628768
1-Feb-19,268.72,268.47,269.39,266.03,3.95M,-0.55%,-0.005477424
4-Feb-19,268.21,268.31,268.69,264.27,3.40M,-0.19%,-0.001897886
5-Feb-19,266.31,270.12,272.09,265.84,3.60M,-0.71%,-0.007084001
6-Feb-19,269.5,265.14,269.93,264.98,2.57M,1.20%,0.011978521
7-Feb-19,269,268.64,270.58,267.26,2.46M,-0.19%,-0.001855288
8-Feb-19,261.9,267.5,268.7,260.32,4.55M,-2.64%,-0.026394052
11-Feb-19,257.14,261.17,261.18,256.34,4.86M,-1.82%,-0.018174876
12-Feb-19,263.5,259.22,264,256.92,4.33M,2.47%,0.024733608
