Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-15,85.9,86.27,86.72,85.55,4.50M,0.02%,0
5-Jan-15,85.65,85.72,86.32,85.51,6.98M,-0.29%,-0.002910361
6-Jan-15,86.31,85.98,86.75,85.79,8.21M,0.77%,0.007705779
7-Jan-15,88.6,86.78,88.68,86.67,8.50M,2.65%,0.026532267
8-Jan-15,90.47,89.21,90.67,89.07,12.71M,2.11%,0.021106095
9-Jan-15,89.35,90.32,90.39,89.25,8.52M,-1.24%,-0.012379794
12-Jan-15,90.02,89.36,90.31,89.22,7.37M,0.75%,0.007498601
13-Jan-15,89.31,90.8,90.97,88.93,8.22M,-0.79%,-0.007887136
14-Jan-15,86.61,87.65,88.52,86.5,11.95M,-3.02%,-0.030231777
15-Jan-15,87.38,87,87.78,86.7,9.41M,0.89%,0.008890428
16-Jan-15,86.77,87.2,87.46,86.23,8.41M,-0.70%,-0.006981003
20-Jan-15,86.69,86.82,87.7,85.55,7.85M,-0.09%,-0.000921978
21-Jan-15,86.64,86.1,86.91,85.71,8.17M,-0.06%,-0.000576768
22-Jan-15,88.3,87.23,88.39,86.86,7.12M,1.92%,0.019159741
23-Jan-15,88.51,88.42,89.26,87.89,7.57M,0.24%,0.002378256
26-Jan-15,88.63,88.31,89.16,88.12,4.67M,0.14%,0.001355779
27-Jan-15,87.53,88.28,88.46,87.26,6.02M,-1.24%,-0.012411147
28-Jan-15,86.82,88.02,88.23,86.77,5.94M,-0.81%,-0.008111505
29-Jan-15,87.72,87.07,87.72,86.27,6.52M,1.04%,0.010366275
30-Jan-15,84.98,86.78,87.36,84.9,10.28M,-3.12%,-0.03123575
2-Feb-15,85.71,84.79,85.87,83.93,6.93M,0.86%,0.008590257
3-Feb-15,86.19,85.83,86.53,85.66,8.28M,0.56%,0.00560028
4-Feb-15,86.65,86.11,87.03,86,8.93M,0.53%,0.005337046
5-Feb-15,87.28,87.11,87.36,86.56,5.09M,0.73%,0.007270629
6-Feb-15,87.33,87.26,88,86.78,5.62M,0.06%,0.000572869
9-Feb-15,85.91,86.97,87.19,85.64,5.46M,-1.63%,-0.016260163
10-Feb-15,87.29,86.62,87.41,86.42,5.73M,1.61%,0.016063322
11-Feb-15,86.34,86.63,87.12,85.92,5.85M,-1.09%,-0.010883263
12-Feb-15,85.89,86.56,86.68,85.23,6.94M,-0.52%,-0.005211953
13-Feb-15,85.81,85.84,86.16,85.32,5.60M,-0.09%,-0.000931424
17-Feb-15,85.96,85.43,85.97,84.97,5.09M,0.17%,0.001748048
18-Feb-15,86.29,85.98,86.3,85.52,6.03M,0.38%,0.003838995
19-Feb-15,83.52,84.5,84.8,83.39,18.65M,-3.21%,-0.032101055
20-Feb-15,84.3,82.73,84.38,82.55,13.84M,0.93%,0.00933908
23-Feb-15,84.6,84.39,84.86,84.23,6.73M,0.36%,0.003558719
24-Feb-15,84.57,84.52,84.82,83.92,5.20M,-0.04%,-0.00035461
25-Feb-15,83.57,84.63,84.72,83.52,6.81M,-1.18%,-0.011824524
26-Feb-15,83.8,83.85,83.86,83.27,5.89M,0.28%,0.002752184
27-Feb-15,83.93,83.72,84.16,83.4,5.88M,0.16%,0.001551313
2-Mar-15,83.96,83.89,84,83.2,6.06M,0.04%,0.000357441
3-Mar-15,83.37,83.66,83.82,83.17,6.46M,-0.70%,-0.007027156
4-Mar-15,82.58,83.21,83.21,82.2,6.21M,-0.95%,-0.009475831
5-Mar-15,83.57,83.15,83.87,82.96,6.00M,1.20%,0.011988375
6-Mar-15,82.59,82.81,83.1,82.38,5.73M,-1.17%,-0.011726696
9-Mar-15,82.88,82.59,83.34,82.54,4.67M,0.35%,0.003511321
10-Mar-15,82.07,82.27,82.5,82.07,6.31M,-0.98%,-0.009773166
11-Mar-15,80.69,81.82,81.97,80.54,6.16M,-1.68%,-0.016814914
12-Mar-15,81.9,80.81,82.12,80.78,5.23M,1.50%,0.014995662
13-Mar-15,81.9,81.95,82.25,81.29,4.76M,0.00%,0
16-Mar-15,83.29,82.45,83.37,82.44,6.52M,1.70%,0.016971917
17-Mar-15,82.62,82.98,83.01,82.24,4.80M,-0.80%,-0.008044183
18-Mar-15,82.53,81.98,82.96,81.16,10.25M,-0.11%,-0.001089325
19-Mar-15,81.52,82.33,82.44,81.37,7.21M,-1.22%,-0.012237974
20-Mar-15,83.24,81.83,83.49,81.71,12.37M,2.11%,0.021099117
23-Mar-15,83.31,83.18,83.9,83.12,6.51M,0.08%,0.000840942
24-Mar-15,83.05,83.19,83.71,82.96,5.36M,-0.31%,-0.003120874
25-Mar-15,81.32,83.09,83.25,81.31,6.65M,-2.08%,-0.020830825
26-Mar-15,81.89,80.93,82.31,80.65,8.27M,0.70%,0.007009346
27-Mar-15,81.35,81.85,82.18,81.25,5.72M,-0.66%,-0.006594212
30-Mar-15,82.53,81.7,82.8,81.43,5.70M,1.45%,0.014505224
31-Mar-15,82.25,82.39,83.04,82.25,5.59M,-0.34%,-0.003392706
1-Apr-15,80.71,82.28,82.28,80.43,8.31M,-1.87%,-0.018723404
2-Apr-15,80.73,80.73,81.31,80.55,5.80M,0.02%,0.000247801
6-Apr-15,80.99,80.46,81.33,80.15,6.38M,0.32%,0.003220612
7-Apr-15,80.5,81.09,81.29,80.46,6.61M,-0.61%,-0.00605013
8-Apr-15,81.03,80.39,81.23,80.36,6.69M,0.66%,0.006583851
9-Apr-15,80.84,80.84,81.39,80.58,3.92M,-0.23%,-0.002344811
10-Apr-15,80.65,80.86,81,80.55,5.48M,-0.24%,-0.002350322
13-Apr-15,80.29,80.4,80.92,80.27,4.70M,-0.45%,-0.004463732
14-Apr-15,80.15,80.29,80.42,79.68,5.53M,-0.17%,-0.001743679
15-Apr-15,79.74,80.58,80.98,79.65,6.20M,-0.51%,-0.005115409
16-Apr-15,79.24,79.5,79.89,79.13,8.02M,-0.63%,-0.006270379
17-Apr-15,77.88,78.94,79.15,77.55,11.82M,-1.72%,-0.017163049
20-Apr-15,78.14,78.39,78.83,78.02,8.85M,0.33%,0.003338469
21-Apr-15,78.03,78.61,78.84,77.91,6.20M,-0.14%,-0.00140773
22-Apr-15,78.43,77.73,78.64,77.55,7.59M,0.51%,0.005126233
23-Apr-15,79.18,78.38,79.54,78.2,7.47M,0.96%,0.009562667
24-Apr-15,79.84,79.38,80.93,79.24,6.87M,0.83%,0.008335438
27-Apr-15,79.37,79.77,79.86,79.29,6.45M,-0.59%,-0.005886774
28-Apr-15,79.1,79.46,79.48,78.77,4.90M,-0.34%,-0.003401789
29-Apr-15,77.88,78.7,78.78,77.79,7.11M,-1.54%,-0.015423515
30-Apr-15,78.05,77.83,78.48,77.59,8.80M,0.22%,0.002182845
1-May-15,78.6,78.2,78.76,78.17,5.00M,0.70%,0.007046765
4-May-15,79.18,78.98,79.55,78.46,6.67M,0.74%,0.007379135
5-May-15,78.13,79.01,79.01,78.06,5.86M,-1.33%,-0.013260924
6-May-15,77.65,77.92,78.12,77.17,5.48M,-0.61%,-0.006143607
7-May-15,78.03,77.73,78.34,77.3,5.54M,0.49%,0.004893754
