Date,Price,Open,High,Low,Vol.,Change %,trend
2-Jan-14,78.91,78.72,79.47,78.5,6.91M,0.28%,0
3-Jan-14,78.65,78.81,79.13,78.52,4.96M,-0.33%,0
6-Jan-14,78.21,78.86,78.91,77.79,7.28M,-0.56%,1
7-Jan-14,78.45,78.17,78.85,77.92,5.01M,0.31%,0
8-Jan-14,77.83,78.5,78.51,77.6,5.97M,-0.79%,1
9-Jan-14,78.09,78.39,78.4,77.49,5.93M,0.33%,0
10-Jan-14,78.04,78.31,78.72,77.54,5.19M,-0.06%,0
13-Jan-14,77.49,77.6,77.97,77.24,6.18M,-0.70%,1
14-Jan-14,77.96,77.46,78,77.38,4.13M,0.61%,0
15-Jan-14,77.66,77.96,78.1,77.57,5.00M,-0.38%,0
16-Jan-14,76.76,77.39,77.47,76.35,7.21M,-1.16%,0
17-Jan-14,76.19,76.73,76.82,76.03,11.45M,-0.74%,0
21-Jan-14,75.84,76.25,76.39,74.86,9.01M,-0.46%,0
22-Jan-14,75.35,76.08,76.08,75.03,5.88M,-0.65%,0
23-Jan-14,74.96,74.84,75.12,74.47,6.02M,-0.52%,0
24-Jan-14,74.42,74.73,75.12,74.23,9.46M,-0.72%,0
27-Jan-14,74.15,74.13,74.37,73.83,9.11M,-0.36%,1
28-Jan-14,74.67,74.26,75.4,74.1,6.04M,0.70%,0
29-Jan-14,74.1,75.29,75.37,74.07,8.44M,-0.76%,1
30-Jan-14,74.75,74.54,75.09,74.36,6.74M,0.88%,0
31-Jan-14,74.68,73.92,75.19,73.64,10.67M,-0.09%,0
3-Feb-14,72.66,74.19,74.5,72.54,10.44M,-2.70%,1
4-Feb-14,72.73,72.67,73.1,72.3,7.77M,0.10%,1
5-Feb-14,72.87,72.27,73.16,72.27,4.78M,0.19%,0
6-Feb-14,72.82,72.97,73.21,72.5,7.35M,-0.07%,1
7-Feb-14,73.75,73.05,73.8,72.5,7.32M,1.28%,1
10-Feb-14,73.76,73.59,73.76,72.96,6.24M,0.01%,1
11-Feb-14,74.8,73.9,74.85,73.67,6.71M,1.41%,1
12-Feb-14,74.96,74.22,75.18,74.22,5.37M,0.21%,1
13-Feb-14,75.36,74.68,75.49,74.56,5.28M,0.53%,1
14-Feb-14,75.79,75.4,75.98,75.1,4.92M,0.57%,0
18-Feb-14,75.33,75.49,75.65,74.86,5.99M,-0.61%,0
19-Feb-14,74.85,75.01,75.32,74.41,8.15M,-0.64%,0
20-Feb-14,73.52,73.05,74,72.81,13.10M,-1.78%,0
21-Feb-14,73.12,73.19,73.4,72.82,8.97M,-0.54%,1
24-Feb-14,73.35,73.24,73.81,73.14,7.33M,0.31%,0
25-Feb-14,73.35,73.18,73.74,73.09,9.50M,0.00%,1
26-Feb-14,74.78,73.94,75.1,73.79,9.03M,1.95%,0
27-Feb-14,74.56,74.78,74.78,74.09,5.46M,-0.29%,1
28-Feb-14,74.7,74.48,75.19,74.2,7.45M,0.19%,0
3-Mar-14,74.12,74.49,74.67,73.83,5.35M,-0.78%,1
4-Mar-14,75.13,74.77,75.49,74.66,7.55M,1.36%,0
5-Mar-14,74.8,75.32,75.33,74.58,5.53M,-0.44%,1
6-Mar-14,74.88,74.86,75.11,74.51,5.11M,0.11%,0
7-Mar-14,74.58,74.96,74.96,74.36,5.05M,-0.40%,0
10-Mar-14,74.43,74.52,74.6,74.05,4.84M,-0.20%,1
11-Mar-14,74.92,74.72,74.97,74.2,9.04M,0.66%,1
12-Mar-14,75.53,74.84,75.75,74.82,8.64M,0.81%,0
13-Mar-14,74.93,75.71,76.18,74.91,5.82M,-0.79%,0
14-Mar-14,74.28,74.67,75.07,74.27,6.62M,-0.87%,1
17-Mar-14,74.68,74.3,74.85,74.01,5.78M,0.54%,1
18-Mar-14,74.77,74.66,74.99,74.45,3.94M,0.12%,0
19-Mar-14,74.38,74.56,75.11,74.02,5.76M,-0.52%,1
20-Mar-14,75.38,74.02,75.68,73.86,8.64M,1.34%,1
21-Mar-14,76.1,75.89,77.02,75.45,17.18M,0.96%,1
24-Mar-14,76.76,76.21,76.8,76.11,7.28M,0.87%,1
25-Mar-14,76.87,76.88,77.14,76.16,7.39M,0.14%,0
26-Mar-14,76.23,77.08,77.53,76.23,7.74M,-0.83%,0
27-Mar-14,76.14,76.38,76.82,76.04,5.60M,-0.12%,0
28-Mar-14,76.01,76.26,76.59,75.77,5.87M,-0.17%,1
31-Mar-14,76.43,76.35,76.78,76.02,4.70M,0.55%,1
1-Apr-14,76.77,76.76,77.25,76.54,5.77M,0.44%,1
2-Apr-14,77.18,76.58,77.19,76.34,6.08M,0.53%,1
3-Apr-14,77.46,77.2,77.55,77,6.05M,0.36%,0
4-Apr-14,77.31,77.58,77.9,77.25,6.77M,-0.19%,0
7-Apr-14,77.31,77.23,77.72,77.09,7.68M,0.00%,1
8-Apr-14,78.18,77.09,78.31,76.8,7.50M,1.13%,0
9-Apr-14,77.97,78.2,78.22,77.28,6.88M,-0.27%,0
10-Apr-14,76.89,77.95,78.14,76.65,7.60M,-1.39%,0
11-Apr-14,76.5,76.78,77.23,76.29,7.98M,-0.51%,1
14-Apr-14,77.38,76.94,77.55,76.79,5.38M,1.15%,0
15-Apr-14,76.88,77.03,77.31,76.44,6.93M,-0.65%,1
16-Apr-14,77.22,77.31,77.47,77.03,5.04M,0.44%,1
17-Apr-14,77.66,77.08,77.75,77.08,6.96M,0.57%,0
21-Apr-14,77.6,77.41,77.73,77.18,4.60M,-0.08%,0
22-Apr-14,77.56,77.52,77.83,77.39,6.47M,-0.05%,1
23-Apr-14,78.04,77.82,78.28,77.57,5.81M,0.62%,1
24-Apr-14,78.31,78.17,78.47,77.7,4.35M,0.35%,1
25-Apr-14,78.62,78.31,78.78,78.02,5.40M,0.40%,1
28-Apr-14,79.76,78.86,79.98,78.83,9.60M,1.45%,0
29-Apr-14,79.67,79.84,79.87,79.57,4.70M,-0.11%,1
30-Apr-14,79.71,79.59,79.93,79.51,6.11M,0.05%,0
1-May-14,79.7,79.73,79.73,79.16,5.10M,-0.01%,0
2-May-14,79.12,79.6,79.76,79.01,5.62M,-0.73%,0
5-May-14,78.62,78.86,78.95,78.5,4.59M,-0.63%,0
