Date,Price,Open,High,Low,Vol.,Change %
2-Jan-14,74.57,74.91,75.29,74.51,3.07M,-0.97%
3-Jan-14,75.1,74.8,75.76,74.6,3.21M,0.71%
6-Jan-14,74.24,75.42,75.42,74.12,3.43M,-1.15%
7-Jan-14,76.51,74.94,77.33,74.94,6.55M,3.06%
8-Jan-14,75.62,76.33,76.46,75.48,6.17M,-1.16%
9-Jan-14,76.08,75.65,76.24,75.65,6.29M,0.61%
10-Jan-14,74.7,76.2,76.3,74.55,6.64M,-1.81%
13-Jan-14,73.94,74.67,75,73.67,5.25M,-1.02%
14-Jan-14,74.02,74.05,74.34,73.69,5.78M,0.11%
15-Jan-14,74.84,73.99,74.86,73.99,7.04M,1.11%
16-Jan-14,72.76,74.13,74.84,72.15,8.89M,-2.78%
17-Jan-14,72.52,73.12,73.12,72.3,5.56M,-0.33%
21-Jan-14,73.16,72.72,73.62,72.41,6.38M,0.88%
22-Jan-14,73.4,73.83,73.93,73.24,4.92M,0.33%
23-Jan-14,73.2,72.7,73.69,72.49,5.05M,-0.27%
24-Jan-14,71.6,72.83,72.92,71.38,5.64M,-2.19%
27-Jan-14,71.65,71.31,72.2,71.14,4.23M,0.07%
28-Jan-14,71.71,71.65,72.36,71.47,2.93M,0.08%
29-Jan-14,71.26,71.39,72.96,70.84,6.01M,-0.63%
30-Jan-14,72.8,71.7,73.04,71.53,4.25M,2.16%
31-Jan-14,72.28,71.87,72.35,71.45,4.29M,-0.71%
3-Feb-14,70.74,72.14,72.21,70.64,4.53M,-2.13%
4-Feb-14,70.51,70.8,71,69.8,4.65M,-0.33%
5-Feb-14,70.82,69.94,71.2,69.83,4.39M,0.44%
6-Feb-14,70.87,70.77,71.06,70.09,4.77M,0.07%
7-Feb-14,71.36,70.5,71.65,70.11,6.95M,0.69%
10-Feb-14,69.74,70.91,71.07,69.57,7.78M,-2.27%
11-Feb-14,70.62,69.76,70.87,69.58,5.55M,1.26%
12-Feb-14,70.24,70.91,71.3,69.98,4.12M,-0.54%
13-Feb-14,71.21,70.13,71.48,69.93,3.79M,1.38%
14-Feb-14,73.52,71.16,73.84,71,6.87M,3.24%
18-Feb-14,73.83,73.52,74.62,73.45,5.54M,0.42%
19-Feb-14,73.55,73.55,74.31,73.42,3.93M,-0.38%
20-Feb-14,73.48,73.6,74.11,73.23,4.13M,-0.10%
21-Feb-14,73.81,73.43,74.1,73.34,4.56M,0.45%
24-Feb-14,76.01,74.14,76.77,74,9.57M,2.98%
25-Feb-14,75.32,75.98,76.14,75.13,3.76M,-0.91%
26-Feb-14,76.06,75.33,76.12,74.78,5.43M,0.98%
27-Feb-14,76.02,75.78,76.41,75.6,4.23M,-0.05%
28-Feb-14,77.27,76.04,77.71,75.8,6.18M,1.64%
3-Mar-14,77.1,76.7,77.46,76.53,3.67M,-0.22%
4-Mar-14,78.13,77.74,78.57,77.54,5.17M,1.34%
5-Mar-14,77.99,78.26,78.5,77.58,3.93M,-0.18%
6-Mar-14,77.64,78.15,78.34,77.55,4.20M,-0.45%
7-Mar-14,77.4,78.01,78.07,77.04,3.43M,-0.31%
10-Mar-14,77.88,77.28,77.9,77.11,2.99M,0.62%
11-Mar-14,77.78,77.91,78.45,77.52,3.47M,-0.13%
12-Mar-14,77.6,77.28,77.7,77.23,2.88M,-0.23%
13-Mar-14,77.01,77.76,78.1,76.96,3.18M,-0.76%
14-Mar-14,75.7,77.02,77.02,75.65,5.13M,-1.70%
17-Mar-14,76.76,76.14,77.02,76.09,3.52M,1.40%
18-Mar-14,78,76.97,78.05,76.77,3.67M,1.62%
19-Mar-14,79.96,78.07,80.3,77.94,9.06M,2.51%
20-Mar-14,81.53,79.58,81.59,79.43,7.79M,1.96%
21-Mar-14,81.34,82.19,83.32,81.3,11.83M,-0.23%
