Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-15,100.78,101.5,102.62,100.01,3.07M,-0.31%,0
5-Jan-15,99.12,100.3,100.45,98.75,4.68M,-1.65%,-0.016471522
6-Jan-15,98.92,99.83,100.14,98.46,3.47M,-0.20%,-0.002017756
7-Jan-15,99.93,98.96,100.3,98.92,3.23M,1.02%,0.010210271
8-Jan-15,104.7,101.57,104.98,100.72,5.35M,4.77%,0.047733413
9-Jan-15,103.72,104.42,104.63,102.9,3.40M,-0.94%,-0.009360076
12-Jan-15,102.55,103.83,104,101.91,3.05M,-1.13%,-0.01128037
13-Jan-15,103.07,103.94,105.6,101.84,3.86M,0.51%,0.005070697
14-Jan-15,103.33,101.61,103.48,101.18,4.73M,0.25%,0.002522557
15-Jan-15,104.46,103.56,104.59,103.13,5.89M,1.09%,0.010935837
16-Jan-15,105.77,104.5,106,103.65,6.05M,1.25%,0.012540685
20-Jan-15,105.62,106.2,106.38,104.5,6.53M,-0.14%,-0.001418172
21-Jan-15,109.32,106.52,109.45,105.62,8.29M,3.50%,0.035031244
22-Jan-15,113.85,109.75,114.12,109.33,8.06M,4.14%,0.04143798
23-Jan-15,112,113.64,114.32,112,5.26M,-1.62%,-0.016249451
26-Jan-15,111.61,112,112,110.76,4.20M,-0.35%,-0.003482143
27-Jan-15,110.01,110.95,111.25,109.92,4.72M,-1.43%,-0.014335633
28-Jan-15,108.46,110.57,110.88,108.45,6.63M,-1.41%,-0.014089628
29-Jan-15,109.39,108.15,109.58,106.74,4.91M,0.86%,0.00857459
30-Jan-15,106.25,108.62,109.39,106.14,5.40M,-2.87%,-0.028704635
2-Feb-15,107.29,106.73,107.34,105.07,4.66M,0.98%,0.009788235
3-Feb-15,107.81,107.35,108,106.52,4.19M,0.48%,0.004846677
4-Feb-15,107.92,106.83,108.74,106.75,4.77M,0.10%,0.001020314
5-Feb-15,108.82,108.32,109.81,108.32,3.30M,0.83%,0.008339511
6-Feb-15,107.6,108.59,109.4,107.19,3.66M,-1.12%,-0.011211174
9-Feb-15,106.49,106.93,107.24,106.28,3.91M,-1.03%,-0.010315985
10-Feb-15,108.97,107.26,109.46,107.13,5.44M,2.33%,0.023288572
11-Feb-15,109.85,108.73,110.06,108.38,3.80M,0.81%,0.008075617
12-Feb-15,109.84,110.7,110.78,108.83,3.38M,-0.01%,-9.10332E-05
13-Feb-15,109.44,109.69,109.84,108.68,3.73M,-0.36%,-0.003641661
17-Feb-15,109.76,109.34,109.76,108.52,3.43M,0.29%,0.002923977
18-Feb-15,109.77,109,110.22,108.95,2.96M,0.01%,9.11079E-05
19-Feb-15,110.03,109.54,110.36,109.44,2.67M,0.24%,0.002368589
20-Feb-15,112.62,109.96,112.82,109.44,4.65M,2.35%,0.023539035
23-Feb-15,116.4,112.99,116.49,112.85,7.06M,3.36%,0.033564198
24-Feb-15,115.43,116.26,116.58,115.32,3.58M,-0.83%,-0.008333333
25-Feb-15,114.05,115.82,115.82,113.72,3.85M,-1.20%,-0.011955298
26-Feb-15,113.66,114.41,114.62,113.37,3.13M,-0.34%,-0.003419553
27-Feb-15,113.63,113.77,114.25,113.41,4.02M,-0.03%,-0.000263945
2-Mar-15,114.4,113.77,114.85,113.75,2.95M,0.68%,0.006776379
3-Mar-15,112.86,113.95,114.49,112.36,3.16M,-1.35%,-0.013461538
4-Mar-15,113.82,112.25,113.97,111.65,3.18M,0.85%,0.008506114
5-Mar-15,114.79,114.07,115.72,114.07,2.94M,0.85%,0.008522228
6-Mar-15,112.88,115.16,115.16,112.61,3.20M,-1.66%,-0.01663908
9-Mar-15,114.9,112.97,114.96,112.87,3.94M,1.79%,0.01789511
10-Mar-15,112.46,114.26,114.41,112.46,3.96M,-2.12%,-0.021235857
11-Mar-15,112.72,112.9,113.59,112.64,2.59M,0.23%,0.002311933
12-Mar-15,114.88,113.32,115.05,113.15,3.26M,1.92%,0.019162527
13-Mar-15,115.25,114.44,115.39,113.53,3.07M,0.32%,0.003220752
16-Mar-15,118.52,116,118.69,115.82,4.69M,2.84%,0.028373102
17-Mar-15,117.6,118.08,118.13,116.92,3.30M,-0.78%,-0.007762403
18-Mar-15,119.96,117.43,120.52,116.73,5.53M,2.01%,0.020068027
19-Mar-15,120.76,120,121.1,119.82,4.03M,0.67%,0.00666889
20-Mar-15,119.14,121.35,121.53,119,7.20M,-1.34%,-0.013415038
23-Mar-15,119.04,119.48,120.48,118.59,4.58M,-0.08%,-0.000839349
24-Mar-15,118.12,118.9,119.64,118.08,3.05M,-0.77%,-0.007728495
25-Mar-15,116.54,118.85,119.75,116.51,3.39M,-1.34%,-0.013376228
26-Mar-15,116.25,116.07,117.21,114.6,2.86M,-0.25%,-0.002488416
27-Mar-15,118.01,116.06,118.22,116.02,2.61M,1.51%,0.015139785
30-Mar-15,121,122.32,123.76,120.53,5.18M,2.53%,0.025336836
31-Mar-15,118.29,120.8,120.93,118.22,4.57M,-2.24%,-0.022396694
1-Apr-15,117.45,119.52,119.52,116.54,4.83M,-0.71%,-0.007101192
2-Apr-15,117.36,117.6,118.38,116.87,2.50M,-0.08%,-0.000766284
6-Apr-15,117.7,116.02,118.52,115.95,2.54M,0.29%,0.002897069
7-Apr-15,117.35,119.45,119.83,117.27,2.53M,-0.30%,-0.002973662
8-Apr-15,118.19,117.78,118.83,117.47,2.63M,0.72%,0.007158074
9-Apr-15,118.55,117.83,118.76,117.6,2.25M,0.30%,0.003045943
10-Apr-15,119,118.55,119.1,117.97,2.23M,0.38%,0.003795867
13-Apr-15,119.37,121,121.31,119.13,3.96M,0.31%,0.003109244
14-Apr-15,119.92,119.34,120.18,118.52,3.21M,0.46%,0.004607523
15-Apr-15,117.32,120.38,120.74,116.55,7.34M,-2.17%,-0.021681121
16-Apr-15,121.6,121.93,122.32,120.52,7.07M,3.65%,0.036481418
17-Apr-15,118.71,121,121.05,117.74,4.39M,-2.38%,-0.023766447
20-Apr-15,118.58,119.85,120.33,118.07,4.65M,-0.11%,-0.001095106
21-Apr-15,119.28,119,119.63,118.76,3.38M,0.59%,0.005903188
22-Apr-15,117.81,119.54,119.94,117.17,3.85M,-1.23%,-0.012323944
23-Apr-15,118.26,117.48,118.58,116.96,3.24M,0.38%,0.00381971
24-Apr-15,118.69,118.28,119.09,118.02,3.14M,0.36%,0.003636056
27-Apr-15,116.24,119.18,119.41,116.07,5.17M,-2.06%,-0.020642009
28-Apr-15,117.59,116.89,117.74,114.28,4.14M,1.16%,0.011613902
29-Apr-15,113.61,116.22,117.32,112.04,7.12M,-3.38%,-0.033846416
30-Apr-15,111.4,113.53,114.33,111.12,6.71M,-1.95%,-0.019452513
1-May-15,113.2,112.29,113.66,111.74,5.81M,1.62%,0.016157989
4-May-15,114.56,113.7,114.92,113.45,3.53M,1.20%,0.012014134
5-May-15,113.37,113.94,114.28,113.01,3.96M,-1.04%,-0.01038757
6-May-15,113.49,114,114.49,112.66,3.37M,0.11%,0.001058481
7-May-15,114.76,113.15,115.14,113.11,3.30M,1.12%,0.011190413
8-May-15,115.68,115.92,116.59,115.05,3.07M,0.80%,0.008016731
11-May-15,114.77,115.61,115.79,114.72,3.38M,-0.79%,-0.007866528
12-May-15,114.64,114.23,115.08,113.83,3.84M,-0.11%,-0.0011327
13-May-15,115.86,114.62,116.3,114.62,3.67M,1.06%,0.01064201
14-May-15,118.53,117.18,118.62,116.21,4.77M,2.30%,0.023045054
15-May-15,119.33,118.78,119.35,118.31,3.08M,0.67%,0.006749346
18-May-15,119.8,119.22,119.98,118.84,2.82M,0.39%,0.003938658
19-May-15,120.55,119.82,121.13,119.69,3.55M,0.63%,0.006260434
20-May-15,121.24,120.73,121.85,120.03,3.38M,0.57%,0.005723766
21-May-15,120.46,120.76,120.84,120.05,2.98M,-0.64%,-0.00643352
22-May-15,119.59,120.3,120.78,119.14,2.95M,-0.72%,-0.007222314
26-May-15,118.24,119.22,119.59,117.7,3.01M,-1.13%,-0.011288569
27-May-15,119.45,118.88,119.85,118.27,2.89M,1.02%,0.010233424
28-May-15,119.62,119.31,119.81,118.29,2.87M,0.14%,0.00142319
29-May-15,120.21,120.06,121.62,117.74,6.02M,0.49%,0.004932286
1-Jun-15,119.86,120.54,120.56,118.75,3.88M,-0.29%,-0.002911571
2-Jun-15,117.75,119.49,119.68,117.41,4.22M,-1.76%,-0.017603871
3-Jun-15,118.35,118,118.99,117.45,3.44M,0.51%,0.005095541
4-Jun-15,116.65,117.92,117.97,116.03,3.30M,-1.44%,-0.014364174
5-Jun-15,116.53,116.33,116.75,115.36,2.72M,-0.10%,-0.001028718
8-Jun-15,116.91,116.38,117.67,116.32,3.27M,0.33%,0.003260963
9-Jun-15,116.99,116.93,117.38,115.79,3.05M,0.07%,0.000684287
10-Jun-15,118.55,117.03,118.88,116.73,4.01M,1.33%,0.013334473
11-Jun-15,119.32,118.41,119.94,118.22,3.82M,0.65%,0.00649515
12-Jun-15,117.65,118.84,119,117.5,3.08M,-1.40%,-0.013995977
15-Jun-15,118.98,116.83,120.88,116,6.81M,1.13%,0.011304717
16-Jun-15,121.55,119.14,122.18,119,7.23M,2.16%,0.021600269
17-Jun-15,119.74,121.9,122.2,119.17,4.81M,-1.49%,-0.014890991
18-Jun-15,120.89,120.39,121.38,119.92,3.48M,0.96%,0.009604142
19-Jun-15,120.33,120.65,120.88,119.9,4.18M,-0.46%,-0.00463231
22-Jun-15,120.25,121.63,122.23,119.94,4.44M,-0.07%,-0.000664838
23-Jun-15,122.74,121.37,122.77,121.01,4.99M,2.07%,0.020706861
24-Jun-15,119.17,122.8,123,119.09,4.65M,-2.91%,-0.029085873
25-Jun-15,122.33,119.57,123.41,119.5,6.15M,2.65%,0.026516741
26-Jun-15,123.25,123.79,124.11,122.73,16.36M,0.75%,0.007520641
