Date,Price,Open,High,Low,Vol.,Change %,trend
2-Jan-13,69.24,68.93,69.24,68.45,10.39M,1.48%,0
3-Jan-13,68.8,69.25,69.35,68.38,8.91M,-0.64%,1
4-Jan-13,69.06,68.73,69.18,68.34,6.44M,0.38%,0
7-Jan-13,68.4,68.83,68.92,68.12,6.20M,-0.96%,1
8-Jan-13,68.59,68.28,68.89,68.21,5.87M,0.28%,0
9-Jan-13,68.57,68.66,68.71,68.22,5.06M,-0.03%,0
10-Jan-13,68.36,68.66,69.03,67.72,11.45M,-0.31%,1
11-Jan-13,68.63,68.6,68.79,68.21,6.22M,0.39%,0
14-Jan-13,68.3,68.49,68.67,68.11,5.49M,-0.48%,1
15-Jan-13,68.98,68.19,69.24,68.1,6.14M,1.00%,1
16-Jan-13,69.21,68.94,69.37,68.89,4.92M,0.33%,0
17-Jan-13,68.85,69.3,69.32,68.71,7.23M,-0.52%,1
18-Jan-13,69.2,68.85,69.2,68.85,7.81M,0.51%,1
22-Jan-13,69.58,69.05,69.65,68.96,5.75M,0.55%,0
23-Jan-13,69.49,69.39,69.64,69.15,6.37M,-0.13%,1
24-Jan-13,69.79,69.65,69.99,69.35,9.14M,0.43%,0
25-Jan-13,69,69.91,70,68.93,7.97M,-1.13%,1
28-Jan-13,69.35,69.08,69.5,68.8,7.05M,0.51%,1
29-Jan-13,69.89,69.21,70.2,69.2,9.56M,0.78%,0
30-Jan-13,69.75,70.12,70.12,69.5,7.02M,-0.20%,1
31-Jan-13,69.95,69.69,70.44,69.69,7.02M,0.29%,1
1-Feb-13,70.49,70.11,70.54,69.95,6.45M,0.77%,0
4-Feb-13,69.63,69.44,69.9,69.13,10.76M,-1.22%,1
5-Feb-13,70.77,69.87,71.08,69.76,10.53M,1.64%,1
6-Feb-13,71.31,70.48,71.32,70.3,9.76M,0.76%,0
7-Feb-13,71.23,71.44,71.64,70.9,8.31M,-0.11%,1
8-Feb-13,71.48,71.2,71.64,71.07,5.91M,0.35%,0
11-Feb-13,71.4,71.25,71.51,70.53,6.20M,-0.11%,0
12-Feb-13,71.4,71.49,71.66,71.1,4.76M,0.00%,0
13-Feb-13,71.39,71.29,71.7,71.21,3.97M,-0.01%,0
14-Feb-13,70.82,71.1,71.23,70.75,6.82M,-0.80%,0
15-Feb-13,69.3,69.54,70,68.13,25.69M,-2.15%,0
19-Feb-13,68.76,69.19,69.45,68.54,14.68M,-0.78%,1
20-Feb-13,69.21,68.72,69.85,68.3,11.98M,0.65%,1
21-Feb-13,70.26,70,71.47,69.72,20.43M,1.52%,1
22-Feb-13,70.4,70.22,70.54,69.89,9.17M,0.20%,1
25-Feb-13,70.44,70.5,71.34,70.44,11.82M,0.06%,1
26-Feb-13,71.11,70.69,71.39,70.61,10.56M,0.95%,1
27-Feb-13,71.66,70.92,71.95,70.58,8.82M,0.77%,0
28-Feb-13,70.78,71.59,71.88,70.78,18.89M,-1.23%,1
1-Mar-13,71.74,70.78,71.9,70.78,8.90M,1.36%,1
4-Mar-13,73.26,71.52,73.26,71.51,10.57M,2.12%,1
5-Mar-13,73.72,73.47,74.04,72.99,9.14M,0.63%,0
6-Mar-13,73.38,73.75,74.13,73.25,7.15M,-0.46%,0
7-Mar-13,73.32,73.49,73.61,73.2,6.69M,-0.08%,0
8-Mar-13,73.03,73.3,73.39,72.84,5.74M,-0.40%,0
11-Mar-13,72.98,73.09,73.24,72.81,5.15M,-0.07%,1
12-Mar-13,73.6,72.95,73.9,72.84,8.16M,0.85%,1
13-Mar-13,73.65,73.89,74.2,73.54,5.33M,0.07%,0
14-Mar-13,73.22,73.87,74,73.13,6.35M,-0.58%,0
15-Mar-13,72.5,73.01,73.5,72.44,17.21M,-0.98%,0
18-Mar-13,72.25,72.29,72.73,72.01,5.77M,-0.34%,1
19-Mar-13,72.45,72.42,72.87,72.19,5.75M,0.28%,1
20-Mar-13,72.99,72.81,73.38,72.74,6.32M,0.75%,1
21-Mar-13,73.13,72.87,73.47,72.85,5.51M,0.19%,1
22-Mar-13,74.28,73.35,74.29,73.29,7.33M,1.57%,1
25-Mar-13,74.85,74.14,75.11,74.12,10.44M,0.77%,0
26-Mar-13,74.77,74.93,75.09,74.43,6.64M,-0.11%,1
27-Mar-13,74.78,74.31,74.97,74.24,5.97M,0.01%,1
28-Mar-13,74.83,74.84,74.97,74.38,7.37M,0.07%,1
1-Apr-13,75.43,75,75.93,74.9,8.42M,0.80%,1
2-Apr-13,76.02,75.55,76.05,75.42,6.64M,0.78%,0
3-Apr-13,76,76.31,76.68,75.72,7.45M,-0.03%,1
4-Apr-13,76.2,75.96,76.58,75.96,7.51M,0.26%,1
5-Apr-13,76.39,75.55,76.41,75.43,5.88M,0.25%,1
8-Apr-13,77.29,76.1,77.44,75.83,8.08M,1.18%,1
9-Apr-13,78.12,77.24,78.46,77.02,8.67M,1.07%,0
10-Apr-13,77.37,78.28,78.38,77.37,8.60M,-0.96%,1
11-Apr-13,77.79,77.36,78.37,77.27,7.13M,0.54%,1
12-Apr-13,78.56,77.63,78.85,77.58,6.34M,0.99%,0
15-Apr-13,78.47,78.44,79.28,78.43,8.56M,-0.11%,1
16-Apr-13,78.68,78.23,78.86,78.03,6.85M,0.27%,0
17-Apr-13,78.51,78.53,79.07,78.11,7.25M,-0.22%,0
18-Apr-13,77.16,78.76,79.05,76.61,14.22M,-1.72%,1
19-Apr-13,78.29,77.5,78.44,77.4,7.84M,1.46%,0
22-Apr-13,77.97,78.29,78.44,77.5,5.16M,-0.41%,1
23-Apr-13,79.09,78.11,79.22,78.05,6.66M,1.44%,0
24-Apr-13,78.03,79.23,79.5,77.92,8.08M,-1.34%,1
25-Apr-13,78.65,78.18,78.83,77.88,5.73M,0.79%,1
26-Apr-13,79.04,78.58,79.15,78.57,5.92M,0.50%,0
29-Apr-13,78.39,79.08,79.25,78.15,6.16M,-0.82%,0
30-Apr-13,77.72,78.28,78.3,77.37,7.97M,-0.85%,1
1-May-13,78.06,77.85,78.66,77.69,6.26M,0.44%,1
2-May-13,78.46,77.91,78.49,77.8,4.52M,0.51%,1
3-May-13,79.25,78.92,79.34,78.9,5.61M,1.01%,0
6-May-13,78.83,79.1,79.16,78.77,4.81M,-0.53%,0
7-May-13,78.83,79.1,79.14,78.77,6.57M,0.00%,0
8-May-13,78.25,78.56,78.66,77.78,8.01M,-0.74%,1
9-May-13,78.4,78.31,78.96,77.9,6.52M,0.19%,1
10-May-13,78.89,78.47,78.91,78.28,5.83M,0.62%,0
13-May-13,78.5,78.8,78.94,77.92,7.71M,-0.49%,1
14-May-13,78.78,77.98,78.86,77.67,10.02M,0.36%,1
15-May-13,79.86,78.8,79.96,78.65,8.00M,1.37%,0
16-May-13,78.5,78.1,78.86,77.34,12.13M,-1.70%,0
17-May-13,77.87,78.3,78.59,77.4,10.67M,-0.80%,0
20-May-13,77.4,77.88,77.9,77.36,5.58M,-0.60%,0
21-May-13,77.39,77.62,78.18,77.25,7.48M,-0.01%,0
22-May-13,77.03,77.19,77.8,76.75,9.03M,-0.47%,0
23-May-13,76.33,76.83,76.94,76.25,8.05M,-0.91%,1
24-May-13,77.31,76.32,77.41,76.15,7.59M,1.28%,1
28-May-13,77.32,77.52,78.04,77.06,6.06M,0.01%,0
29-May-13,76.23,77.05,77.05,76.06,5.88M,-1.41%,0
30-May-13,75.63,76.49,76.54,75.61,6.23M,-0.79%,0
31-May-13,74.84,75.36,75.63,74.82,9.75M,-1.04%,1
3-Jun-13,75.69,75.06,75.8,74.64,8.44M,1.14%,1
4-Jun-13,75.94,75.77,76.38,75.47,9.34M,0.33%,0
5-Jun-13,75.25,75.72,75.95,75.07,6.78M,-0.91%,1
6-Jun-13,75.63,75.27,75.73,74.83,9.43M,0.50%,1
7-Jun-13,76.33,76.38,76.87,76.19,8.35M,0.93%,0
10-Jun-13,75.75,76.28,76.65,75.66,6.73M,-0.76%,0
11-Jun-13,75.25,75.42,75.83,74.99,6.01M,-0.66%,0
12-Jun-13,74.84,75.47,75.71,74.65,4.73M,-0.54%,1
13-Jun-13,75,74.78,75.33,74.56,7.24M,0.21%,0
14-Jun-13,74.87,74.84,75.27,74.8,6.35M,-0.17%,1
17-Jun-13,74.95,75,75.44,74.51,6.48M,0.11%,1
18-Jun-13,75.73,75,75.88,74.8,6.74M,1.04%,0
19-Jun-13,74.46,75.74,75.96,74.34,8.33M,-1.68%,0
20-Jun-13,73.03,74.5,74.66,73.01,9.07M,-1.92%,1
21-Jun-13,73.51,73.52,74.2,73.25,14.58M,0.66%,1
24-Jun-13,74.2,73.05,74.79,72.9,9.70M,0.94%,1
25-Jun-13,74.37,74.27,74.75,73.84,7.22M,0.23%,1
26-Jun-13,75.01,74.62,75.18,74.54,5.48M,0.86%,1
27-Jun-13,75.26,75.48,76.11,75.24,7.09M,0.33%,0
28-Jun-13,74.49,75.11,75.66,74.45,14.56M,-1.02%,1
1-Jul-13,74.59,74.99,75.28,74.1,6.70M,0.13%,1
2-Jul-13,74.71,74.31,75.68,74.21,6.73M,0.16%,1
3-Jul-13,74.76,74.41,75.12,74.09,2.33M,0.07%,1
5-Jul-13,75.21,75.15,75.26,74.41,5.45M,0.60%,1
8-Jul-13,76.71,75.68,76.77,75.68,6.72M,1.99%,1
9-Jul-13,77.03,76.96,77.44,76.74,5.27M,0.42%,0
10-Jul-13,76.77,76.96,77.5,76.45,5.14M,-0.34%,1
11-Jul-13,77.63,77.45,77.75,77.33,4.68M,1.12%,0
