Date,Price,Open,High,Low,Vol.,Change %,return
4-Jan-16,116.46,116.91,116.91,114.53,4.99M,-1.00%,0
5-Jan-16,116.68,116.72,117.89,116.21,2.82M,0.19%,0.001889061
6-Jan-16,115.49,115.78,116.65,114.5,2.68M,-1.02%,-0.010198834
7-Jan-16,112.09,113.63,114.09,111.42,5.28M,-2.94%,-0.029439778
8-Jan-16,110.16,112.35,113,109.76,4.42M,-1.72%,-0.017218307
11-Jan-16,109.58,110.51,110.62,108.19,4.53M,-0.53%,-0.005265069
12-Jan-16,112.26,110.36,113.13,110.05,4.04M,2.45%,0.024457018
13-Jan-16,109.23,112.41,113.03,108.93,3.43M,-2.70%,-0.026990914
14-Jan-16,110.76,108.74,111.8,107.51,4.24M,1.40%,0.014007141
15-Jan-16,109.27,109.08,110.65,107.79,6.36M,-1.35%,-0.01345251
19-Jan-16,112.58,111.49,114.16,109.6,7.12M,3.03%,0.030291937
20-Jan-16,114.79,112.09,115.74,110.15,8.38M,1.96%,0.019630485
21-Jan-16,113.5,114.67,115.48,112.26,5.41M,-1.12%,-0.011237913
22-Jan-16,114.33,114.67,115.15,113.89,3.62M,0.73%,0.007312775
25-Jan-16,113.38,114.52,115.31,112.85,2.91M,-0.83%,-0.00830928
26-Jan-16,113.96,112.91,114.18,111.76,4.59M,0.51%,0.005115541
27-Jan-16,112.33,114.43,114.81,111.84,4.72M,-1.43%,-0.014303264
28-Jan-16,111.38,112.29,113.25,110.61,3.53M,-0.85%,-0.008457224
29-Jan-16,115.16,111.93,115.16,110.62,5.28M,3.39%,0.03393787
1-Feb-16,115.89,114.83,116.15,114.11,4.33M,0.63%,0.006339007
2-Feb-16,113.88,114.95,115.39,113.27,3.00M,-1.73%,-0.017344033
3-Feb-16,112.75,114.37,114.37,110.3,3.46M,-0.99%,-0.009922726
4-Feb-16,114.2,112.67,114.55,112.04,3.61M,1.29%,0.01286031
5-Feb-16,111.72,114.07,114.2,110.9,3.33M,-2.17%,-0.021716287
8-Feb-16,110.02,110.5,111.12,108.83,5.05M,-1.52%,-0.015216613
9-Feb-16,111.16,109.36,112.28,109.14,3.68M,1.04%,0.010361752
10-Feb-16,112.74,111.33,114.48,111.33,3.02M,1.42%,0.014213746
11-Feb-16,110.62,111.32,111.69,110.09,3.96M,-1.88%,-0.018804329
12-Feb-16,111.82,111.2,111.91,110.21,2.55M,1.08%,0.010847948
16-Feb-16,115.15,112.63,115.27,112.53,3.45M,2.98%,0.029780004
17-Feb-16,118.3,115.5,118.39,115.2,4.47M,2.74%,0.027355623
18-Feb-16,117.45,118.5,120,117.06,3.85M,-0.72%,-0.007185123
19-Feb-16,117.68,117.5,118.55,116.02,4.48M,0.20%,0.00195828
22-Feb-16,121.27,119.12,122.14,118.96,5.05M,3.05%,0.030506458
23-Feb-16,121.15,120.64,121.8,120.27,2.80M,-0.10%,-0.000989528
24-Feb-16,120.2,119.93,120.32,117.83,2.56M,-0.78%,-0.007841519
25-Feb-16,121.2,120.2,121.23,119.82,2.28M,0.83%,0.008319468
26-Feb-16,121.33,121.48,122.26,120.89,2.88M,0.11%,0.001072607
