Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
2-Jan-18,98.59,99.3,99.79,98.52,10.15M,-0.16%,,,,,,,,0
3-Jan-18,99.45,98.85,100,98.77,8.90M,0.87%,,,,,,,,1
4-Jan-18,99.54,99.54,99.78,98.91,6.83M,0.09%,,,,,,,,1
5-Jan-18,100.13,99.64,100.38,99.61,7.28M,0.59%,,,,,,,,1
8-Jan-18,101.61,100.25,101.75,100.21,8.84M,1.48%,,,,,,,,0
9-Jan-18,100.39,102.03,102.35,100.31,7.31M,-1.20%,,,,,,,,0
10-Jan-18,99.67,99.75,99.89,98.53,7.93M,-0.72%,,,,,,,,1
11-Jan-18,100.02,99.7,100.45,98.78,6.54M,0.35%,,,,,,,,1
12-Jan-18,100.87,100.39,101.44,100.3,6.95M,0.85%,,,,,,,,0
16-Jan-18,100.69,101.34,101.91,100.34,7.17M,-0.18%,,,,,,,,1
17-Jan-18,102.7,101.15,102.94,100.7,8.68M,2.00%,,,,,,,,1
18-Jan-18,104.3,104.74,104.94,103.62,12.31M,1.56%,,,,,,,,1
19-Jan-18,104.59,104.64,104.93,103.66,8.38M,0.28%,,109.3791667,,,,,,1
22-Jan-18,105.45,104.5,105.45,104.04,7.31M,0.82%,,108.7746795,,,,,,1
23-Jan-18,105.9,105.29,106.14,104.57,8.29M,0.43%,,108.3324211,,,,,,0
24-Jan-18,105.79,106.35,106.44,104.82,6.82M,-0.10%,109.18923,107.9412794,,,59.87654321,,40.12345679,1
25-Jan-18,106.6,105.85,106.81,105.85,5.86M,0.77%,109.7259,107.7349287,,,78.125,,21.875,1
26-Jan-18,108.39,107,108.41,106.68,6.79M,1.68%,110.32488,107.8357089,,,98.84393064,78.94849128,1.156069364,1
29-Jan-18,109.55,108.11,109.98,107.99,8.36M,1.07%,110.99555,108.099446,,,78.3919598,85.12029681,21.6080402,0
30-Jan-18,107.73,109.14,109.36,107.15,9.18M,-1.66%,111.50475,108.0426082,,,26.24434389,67.82674478,73.75565611,0
31-Jan-18,106.6,107.77,108.18,106.07,9.81M,-1.05%,111.83908,107.8206684,,,25.11848341,43.2515957,74.88151659,0
1-Feb-18,105.52,105.96,106.56,105.18,6.39M,-1.01%,112.18279,107.4667195,,,24.63768116,25.33350282,75.36231884,0
2-Feb-18,104.48,105.15,106.47,104.15,9.25M,-0.99%,112.50506,107.0072242,,,14.22413793,21.3267675,85.77586207,0
5-Feb-18,100.09,103.4,104.61,97.09,12.56M,-4.20%,112.50975,105.9430358,,,39.89361702,26.25181204,60.10638298,1
6-Feb-18,100.9,97.64,101.08,97.25,16.41M,0.81%,112.51176,105.1671842,,,95.3002611,49.80600535,4.699738903,1
