Date,Price,Open,High,Low,Vol.,Change %
2-Jan-13,54.54,54.88,55,54.01,5.36M,0.55%
3-Jan-13,51.99,53.44,53.52,51.85,14.42M,-4.68%
4-Jan-13,52.09,52.2,52.73,52.06,10.46M,0.19%
7-Jan-13,52.09,51.88,52.33,51.55,7.80M,0.00%
8-Jan-13,51.4,52,52.24,51.36,8.20M,-1.32%
9-Jan-13,52.37,51.59,52.5,51.5,5.15M,1.89%
10-Jan-13,53.11,52.52,53.19,52.33,6.51M,1.41%
11-Jan-13,52.82,53.4,53.4,52.33,10.19M,-0.55%
14-Jan-13,53.36,52.87,54.42,52.6,7.12M,1.02%
15-Jan-13,53.62,53.22,53.85,53.21,5.80M,0.49%
16-Jan-13,53.66,53.64,53.8,53.34,6.48M,0.07%
17-Jan-13,54.4,53.76,54.53,53.17,14.44M,1.38%
18-Jan-13,54.56,54.4,54.63,54.22,7.02M,0.29%
22-Jan-13,56.02,54.65,56.09,54.56,9.33M,2.68%
23-Jan-13,55.91,56.11,56.25,55.45,6.67M,-0.20%
24-Jan-13,56.22,56.03,56.44,55.9,4.22M,0.55%
25-Jan-13,56.04,56.36,56.38,55.72,5.63M,-0.32%
28-Jan-13,55.81,56.42,56.53,55.8,5.74M,-0.41%
29-Jan-13,56.28,55.75,56.69,55.68,7.32M,0.84%
30-Jan-13,56.08,56.25,56.44,55.92,6.27M,-0.36%
31-Jan-13,55.21,55.84,56.05,55.21,6.96M,-1.55%
1-Feb-13,55.77,55.74,55.84,55.37,6.37M,1.01%
4-Feb-13,55.75,55.32,56.37,55.32,4.80M,-0.04%
5-Feb-13,57.77,57.07,57.83,56.83,8.65M,3.62%
6-Feb-13,57.38,57.44,57.54,57.1,5.27M,-0.68%
7-Feb-13,57.05,57.36,57.5,56.65,6.05M,-0.58%
8-Feb-13,57.74,57.16,58.26,57.12,4.55M,1.21%
11-Feb-13,57.12,57.56,57.71,57.05,4.17M,-1.07%
12-Feb-13,57.01,57.2,57.38,56.93,4.45M,-0.19%
13-Feb-13,57.23,57.01,57.37,56.75,4.26M,0.39%
14-Feb-13,57.05,57.01,57.22,56.75,5.17M,-0.31%
15-Feb-13,57.32,57.06,57.49,57.04,5.75M,0.47%
19-Feb-13,56.66,54.2,56.88,54.04,14.57M,-1.15%
20-Feb-13,55.21,56.51,56.58,55.19,7.55M,-2.56%
21-Feb-13,55.24,55.57,55.94,54.88,6.36M,0.05%
22-Feb-13,54.47,55.4,55.41,54.25,8.41M,-1.39%
25-Feb-13,53.3,54.69,54.75,53.29,6.81M,-2.15%
26-Feb-13,53.05,53.51,53.59,52.51,6.33M,-0.47%
27-Feb-13,53.87,52.96,54.01,52.93,5.13M,1.55%
28-Feb-13,53.45,53.82,53.96,53.39,5.88M,-0.78%
1-Mar-13,53.52,53.34,53.8,52.88,6.97M,0.13%
4-Mar-13,53.32,53.31,53.5,53.13,4.78M,-0.37%
5-Mar-13,53.5,53.43,53.84,53.18,4.91M,0.34%
6-Mar-13,53.61,53.56,53.94,53.35,5.56M,0.21%
7-Mar-13,53.8,53.76,54.18,53.69,4.46M,0.35%
8-Mar-13,53.81,53.97,54.25,53.52,4.59M,0.02%
11-Mar-13,54.21,53.83,54.64,53.75,4.01M,0.74%
12-Mar-13,54.83,54.17,55,54.08,5.47M,1.14%
13-Mar-13,54.48,54.68,54.88,54.35,4.35M,-0.64%
14-Mar-13,54.73,54.58,54.81,54.06,5.07M,0.46%
15-Mar-13,54.73,54.63,54.9,54.42,7.89M,0.00%
18-Mar-13,55,54.3,55.47,54.28,5.97M,0.49%
19-Mar-13,55.17,55,55.4,54.92,5.49M,0.31%
20-Mar-13,54.88,55.47,55.53,54.81,4.53M,-0.53%
21-Mar-13,55.06,54.69,55.35,54.63,4.95M,0.33%
22-Mar-13,54.46,55.14,55.3,54.23,5.42M,-1.09%
25-Mar-13,54.86,54.65,55.12,54.44,5.14M,0.73%
26-Mar-13,55.65,55.14,55.78,55.09,6.06M,1.44%
27-Mar-13,56.62,55.55,57.03,55.44,8.53M,1.74%
28-Mar-13,57.21,56.66,57.31,56.49,5.69M,1.04%
1-Apr-13,58.97,57.16,59.36,57.01,9.01M,3.08%
2-Apr-13,61.74,61.63,63.95,61.5,22.67M,4.70%
3-Apr-13,61.67,62.41,62.75,61.62,10.14M,-0.11%
4-Apr-13,62.03,61.75,62.5,61.49,7.65M,0.58%
5-Apr-13,62.1,61.92,62.56,61.65,6.84M,0.11%
8-Apr-13,61.89,62.07,62.37,61.3,4.55M,-0.34%
9-Apr-13,62.18,62.09,62.57,61.95,4.41M,0.47%
10-Apr-13,62.41,62.32,62.6,62.09,4.40M,0.37%
11-Apr-13,62.98,62.39,63,62.33,4.74M,0.91%
12-Apr-13,63.03,62.83,63.28,62.62,4.16M,0.08%
15-Apr-13,61.59,62.72,63,61.58,4.64M,-2.28%
16-Apr-13,62.81,62.18,63,61.77,4.98M,1.98%
