Date,Price,Open,High,Low,Vol.,Change %,return
2-Jan-19,243.49,245,246.35,241.47,4.06M,-2.26%,0
3-Jan-19,236.85,243.48,243.48,236.12,4.62M,-2.73%,-2.727011376
4-Jan-19,239.62,239.8,243.46,238.8,5.37M,1.17%,1.169516572
7-Jan-19,240.08,240.4,241.98,238.23,4.13M,0.19%,0.19197062
8-Jan-19,243.29,242.33,244.79,239.71,3.62M,1.34%,1.337054315
9-Jan-19,243.64,244.76,246.63,242.06,3.43M,0.14%,0.143861236
10-Jan-19,244.87,242.08,245.14,241.41,3.37M,0.50%,0.504843211
11-Jan-19,247.67,243.45,247.76,243.27,3.97M,1.14%,1.143463879
14-Jan-19,248.06,246.59,249.92,246.11,4.96M,0.16%,0.157467598
15-Jan-19,256.87,250,256.92,247,5.33M,3.55%,3.551560106
16-Jan-19,261.46,258.73,262.19,258.17,6.07M,1.79%,1.786896095
17-Jan-19,259.77,260.99,261.74,257.89,3.58M,-0.65%,-0.646370382
18-Jan-19,265.5,262.6,266.26,260.42,4.84M,2.21%,2.205797436
22-Jan-19,265.69,264.06,267.5,263.74,4.05M,0.07%,0.071563089
23-Jan-19,267.02,267.75,269.47,263.67,2.97M,0.50%,0.500583387
24-Jan-19,266.13,266.8,268.16,264.26,2.93M,-0.33%,-0.333308366
25-Jan-19,268.05,268.8,270.41,265.7,2.81M,0.72%,0.721451922
28-Jan-19,266.77,266.9,266.93,264.61,2.84M,-0.48%,-0.47752285
29-Jan-19,267.34,266,268.45,265.44,2.17M,0.21%,0.213667204
30-Jan-19,270.37,269.69,272.44,267.19,3.66M,1.13%,1.133388195
31-Jan-19,270.2,270.48,271.74,268.99,4.06M,-0.06%,-0.062876798
1-Feb-19,268.72,268.47,269.39,266.03,3.95M,-0.55%,-0.547742413
4-Feb-19,268.21,268.31,268.69,264.27,3.40M,-0.19%,-0.189788628
5-Feb-19,266.31,270.12,272.09,265.84,3.60M,-0.71%,-0.708400134
6-Feb-19,269.5,265.14,269.93,264.98,2.57M,1.20%,1.197852127
7-Feb-19,269,268.64,270.58,267.26,2.46M,-0.19%,-0.185528757
8-Feb-19,261.9,267.5,268.7,260.32,4.55M,-2.64%,-2.639405204
11-Feb-19,257.14,261.17,261.18,256.34,4.86M,-1.82%,-1.817487591
12-Feb-19,263.5,259.22,264,256.92,4.33M,2.47%,2.473360815
13-Feb-19,263.8,263.52,266.29,263.15,3.07M,0.11%,0.113851992
14-Feb-19,265.33,263.24,267.07,262.71,3.02M,0.58%,0.579984837
15-Feb-19,271.13,267.79,271.13,266.62,3.67M,2.19%,2.18595711
19-Feb-19,270.41,271.17,272.49,269.28,2.49M,-0.27%,-0.265555269
20-Feb-19,269.51,269.21,270.59,268.18,2.80M,-0.33%,-0.332827928
21-Feb-19,266.4,269.47,269.94,265.1,2.55M,-1.15%,-1.15394605
22-Feb-19,267.11,266.5,268.39,265.95,3.19M,0.27%,0.266516517
25-Feb-19,264.6,267.58,268.17,264.38,3.68M,-0.94%,-0.939687769
26-Feb-19,262.98,264.66,265.43,262.8,3.21M,-0.61%,-0.612244898
27-Feb-19,250.08,261.61,261.61,248.94,8.95M,-4.91%,-4.905315994
28-Feb-19,242.22,249.7,251.95,239.15,11.03M,-3.14%,-3.142994242
1-Mar-19,246.15,243.56,248,243.56,6.92M,1.62%,1.622491949
4-Mar-19,236.02,248.12,248.45,234.51,8.65M,-4.12%,-4.115376803
5-Mar-19,241.43,236.53,243.2,234.94,6.92M,2.29%,2.292178629
6-Mar-19,239.07,241.74,241.74,237.03,4.88M,-0.98%,-0.977509009
7-Mar-19,236.7,240.3,241.18,235.55,5.03M,-0.99%,-0.991341448
8-Mar-19,237.29,235.15,239.41,234.63,4.92M,0.25%,0.249260668
