Date,Price,Open,High,Low,Vol.,Change %,trend
3-Jan-11,54.56,54.23,54.8,54.15,14.30M,1.17%,0
4-Jan-11,54.77,54.61,54.88,54.28,12.15M,0.38%,0
5-Jan-11,54.41,54.75,55.07,54.32,14.22M,-0.66%,0
6-Jan-11,53.96,54.31,54.38,53.78,15.59M,-0.83%,1
7-Jan-11,54.08,53.89,54.16,53.76,7.97M,0.22%,0
10-Jan-11,53.73,53.65,54.11,53.54,10.48M,-0.65%,1
11-Jan-11,54.29,53.95,54.52,53.73,12.03M,1.04%,1
12-Jan-11,54.85,54.52,55.32,54.34,13.55M,1.03%,0
13-Jan-11,54.79,54.7,55.36,54.69,12.87M,-0.11%,1
14-Jan-11,54.81,54.73,54.99,54.42,9.29M,0.04%,1
18-Jan-11,55.14,55.11,55.4,54.75,10.53M,0.60%,0
19-Jan-11,55.03,55.04,55.15,54.71,9.90M,-0.20%,1
20-Jan-11,55.99,55.12,56.27,55.12,19.62M,1.74%,0
21-Jan-11,55.73,56.15,56.24,55.38,12.96M,-0.46%,1
24-Jan-11,56.05,55.39,56.05,55.3,11.08M,0.57%,1
25-Jan-11,57.26,56.12,57.29,55.8,20.48M,2.16%,1
26-Jan-11,57.32,57.39,57.75,57,13.21M,0.10%,1
27-Jan-11,57.57,57.46,57.79,57.02,10.18M,0.44%,0
28-Jan-11,56.7,57.69,57.9,56.5,14.60M,-1.51%,0
31-Jan-11,56.07,56.45,56.56,55.7,15.69M,-1.11%,1
1-Feb-11,56.33,56.37,56.58,55.91,12.85M,0.46%,0
2-Feb-11,55.86,56.16,56.18,55.65,14.05M,-0.83%,1
3-Feb-11,55.92,55.92,56.04,55.39,11.29M,0.11%,1
4-Feb-11,56.03,56.04,56.1,55.67,7.11M,0.20%,1
7-Feb-11,56.07,56.07,56.24,55.83,6.72M,0.07%,1
8-Feb-11,56.38,56.1,56.47,55.95,8.82M,0.55%,1
9-Feb-11,56.73,56.26,56.73,56.1,8.58M,0.62%,0
10-Feb-11,55.59,56.15,56.16,55.3,15.77M,-2.01%,1
11-Feb-11,55.69,55.53,55.88,55.31,9.58M,0.18%,0
14-Feb-11,54.8,55.26,55.31,54.67,16.28M,-1.60%,1
15-Feb-11,54.95,54.78,55.05,54.51,11.33M,0.27%,0
16-Feb-11,54.55,54.9,55.2,54.43,15.40M,-0.73%,1
17-Feb-11,54.75,54.52,54.9,54.35,8.54M,0.37%,1
18-Feb-11,55.38,54.68,55.57,54.5,19.98M,1.15%,0
22-Feb-11,53.67,53.81,54.01,52.95,28.70M,-3.09%,0
23-Feb-11,53.03,53.46,53.6,52.9,20.13M,-1.19%,0
