Date,Price,Open,High,Low,Vol.,Change %,trend
4-Jan-10,54.23,53.74,54.67,53.67,20.75M,1.46%,0
5-Jan-10,53.69,54.09,54.19,53.57,15.65M,-1.00%,0
6-Jan-10,53.57,53.5,53.83,53.42,12.52M,-0.22%,1
7-Jan-10,53.6,53.72,53.75,53.26,10.66M,0.06%,0
8-Jan-10,53.33,53.43,53.53,53.02,11.36M,-0.50%,1
11-Jan-10,54.21,53.33,54.44,53.1,13.99M,1.65%,1
12-Jan-10,54.73,54,54.75,53.86,15.12M,0.96%,1
13-Jan-10,55.01,54.79,55.2,54.41,13.29M,0.51%,0
14-Jan-10,54.21,54.73,54.84,54.16,13.77M,-1.45%,0
15-Jan-10,53.68,54.34,54.55,53.6,19.09M,-0.98%,1
19-Jan-10,54.03,53.91,54.26,53.5,14.62M,0.65%,0
20-Jan-10,53.86,53.92,53.94,53.23,13.31M,-0.31%,0
21-Jan-10,52.92,54.07,54.07,52.84,16.03M,-1.75%,1
22-Jan-10,52.94,52.96,53.47,52.69,19.42M,0.04%,0
25-Jan-10,52.88,53.14,53.22,52.77,12.00M,-0.11%,1
26-Jan-10,53.61,52.82,53.86,52.73,15.59M,1.38%,0
27-Jan-10,53.4,53.52,53.77,53.1,13.19M,-0.39%,0
28-Jan-10,52.61,53.38,53.45,52.51,16.96M,-1.48%,1
29-Jan-10,53.43,53.68,54.15,53.4,24.28M,1.56%,1
1-Feb-10,53.48,53.62,53.78,53.31,11.03M,0.09%,1
2-Feb-10,53.49,53.59,53.72,53.33,11.39M,0.02%,1
3-Feb-10,54.27,53.73,54.5,53.64,17.99M,1.46%,0
4-Feb-10,52.97,53.88,54.3,52.96,21.03M,-2.40%,1
5-Feb-10,53.45,52.77,53.53,52.76,15.55M,0.91%,0
8-Feb-10,52.93,53.38,53.54,52.92,10.51M,-0.97%,1
9-Feb-10,53.25,53.21,53.62,52.82,10.83M,0.60%,0
10-Feb-10,53.24,53.27,53.5,52.96,9.41M,-0.02%,0
11-Feb-10,53.08,53.13,53.45,52.91,11.58M,-0.30%,0
12-Feb-10,52.9,53.11,53.11,52.66,17.04M,-0.34%,1
16-Feb-10,53.56,53.24,53.72,52.9,15.77M,1.25%,1
17-Feb-10,54.06,53.69,54.25,53.65,15.53M,0.93%,0
18-Feb-10,53.47,53.2,53.5,52.91,29.46M,-1.09%,1
19-Feb-10,53.49,53.19,53.58,53.07,15.09M,0.04%,1
22-Feb-10,53.83,53.52,53.92,53.34,12.10M,0.64%,0
23-Feb-10,53.62,53.75,54.08,53.45,14.14M,-0.39%,1
24-Feb-10,53.92,53.74,53.95,53.48,10.62M,0.56%,1
25-Feb-10,54.15,53.46,54.28,53.25,13.51M,0.43%,0
26-Feb-10,54.07,54.22,54.24,53.5,15.95M,-0.15%,0
1-Mar-10,53.9,54.04,54.13,53.54,12.13M,-0.31%,0
2-Mar-10,53.59,53.83,53.89,53.47,14.08M,-0.58%,1
3-Mar-10,53.66,53.35,53.75,53.15,11.63M,0.13%,1
4-Mar-10,53.96,54.02,54.09,53.75,11.21M,0.56%,1
5-Mar-10,54.14,53.97,54.17,53.5,11.38M,0.33%,1
8-Mar-10,54.15,54.01,54.28,53.93,7.56M,0.02%,0
9-Mar-10,54.06,54.12,54.5,53.92,12.59M,-0.17%,0
10-Mar-10,53.63,53.67,54.02,53.53,12.70M,-0.80%,1
11-Mar-10,53.97,53.64,53.99,53.53,10.68M,0.63%,0
12-Mar-10,53.9,54.16,54.24,53.79,10.48M,-0.13%,1
15-Mar-10,55.42,54.39,55.54,54.35,24.37M,2.82%,1
16-Mar-10,55.99,55.88,56.27,55.6,18.46M,1.03%,0
17-Mar-10,55.92,56.05,56.13,55.66,12.50M,-0.13%,1
18-Mar-10,55.94,55.89,55.95,55.54,9.47M,0.04%,0
19-Mar-10,55.34,56.03,56.27,55.15,17.18M,-1.07%,1
22-Mar-10,55.62,55.31,56.04,55.13,9.87M,0.51%,1
23-Mar-10,55.89,55.63,56,55.61,9.37M,0.49%,0
24-Mar-10,55.58,55.73,56,55.43,8.70M,-0.55%,1
25-Mar-10,55.61,55.63,55.99,55.6,9.79M,0.05%,0
26-Mar-10,55.51,55.61,55.96,55.47,9.95M,-0.18%,1
29-Mar-10,55.74,55.5,55.75,55.43,9.78M,0.41%,1
30-Mar-10,55.91,55.78,56.05,55.66,6.94M,0.30%,0
31-Mar-10,55.6,55.81,55.91,55.5,9.97M,-0.55%,0
1-Apr-10,55.49,55.75,55.85,55.17,11.79M,-0.20%,0
5-Apr-10,55.49,55.7,55.73,55.22,10.75M,0.00%,1
6-Apr-10,55.53,55.44,55.63,55.29,9.57M,0.07%,0
7-Apr-10,55.28,55.5,55.9,55.14,12.94M,-0.45%,1
8-Apr-10,55.38,55.29,55.7,55.16,11.14M,0.18%,0
9-Apr-10,55.07,55.38,55.38,54.63,12.54M,-0.56%,0
12-Apr-10,55.02,55.02,55.1,54.58,11.96M,-0.09%,0
13-Apr-10,54.72,54.91,55.21,54.66,12.85M,-0.55%,0
14-Apr-10,54.64,54.63,54.91,54.34,14.69M,-0.15%,0
15-Apr-10,54.13,54.15,54.36,53.92,17.66M,-0.93%,0
16-Apr-10,54.11,54.11,54.59,53.84,19.23M,-0.04%,1
19-Apr-10,54.39,54,54.48,54,11.32M,0.52%,1
20-Apr-10,54.52,54.49,54.82,54.38,9.09M,0.24%,0
