Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
13-Dec-19,120.29,119.16,120.65,119.02,5.37M,0.44%,127.1873333,119.4031476,119.230741,0.17240653,77.91411043,65.13429056,22.08588957,1
16-Dec-19,120.54,120.42,121.35,120.42,5.35M,0.21%,127.2326667,119.5780479,119.3277232,0.250324759,12.90322581,55.44727059,87.09677419,1
17-Dec-19,121.28,120.95,121.7,120.7,4.58M,0.61%,127.3606667,119.8398867,119.4723363,0.36755044,58,49.60577875,42,0
18-Dec-19,119.86,121.51,121.68,119.84,5.10M,-1.17%,127.4233333,119.8429811,119.5010521,0.34192896,1.086956522,23.99672744,98.91304348,1
19-Dec-19,120.08,119.94,120.5,119.78,4.46M,0.18%,127.4826667,119.8794455,119.5439371,0.335508382,41.66666667,33.58454106,58.33333333,1
20-Dec-19,120.29,121.48,122.12,120.02,7.95M,0.17%,127.5846667,119.9426077,119.5992011,0.343406694,12.85714286,18.53692202,87.14285714,0
23-Dec-19,119.03,120.2,120.69,119.01,4.49M,-1.05%,127.5806667,119.8022066,119.557038,0.245168543,1.19047619,18.57142857,98.80952381,1
24-Dec-19,119.51,119.13,119.6,119.01,2.23M,0.40%,127.596,119.7572517,119.5535537,0.203697985,84.74576271,32.93112725,15.25423729,1
26-Dec-19,119.52,119.61,119.85,118.95,4.23M,0.01%,127.6526667,119.7207514,119.5510683,0.169683184,63.33333333,49.75652408,36.66666667,1
27-Dec-19,119.59,119.94,119.94,119.25,3.55M,0.06%,127.7126667,119.7006358,119.5539521,0.146683745,49.27536232,65.78481945,50.72463768,0
30-Dec-19,119.4,119.8,119.81,119.13,2.95M,-0.16%,127.762,119.6543842,119.5425482,0.111835937,39.70588235,50.771526,60.29411765,0
31-Dec-19,118.84,119.5,119.8,118.19,4.92M,-0.47%,127.6993333,119.5290943,119.4905076,0.038586674,40.37267081,43.11797183,59.62732919,0
