Date,Price,Open,High,Low,Vol.,Change %
3-Jan-11,37.13,36.38,37.18,36.37,8.21M,2.82%
4-Jan-11,37.47,37.03,37.5,36.83,6.72M,0.92%
5-Jan-11,37.59,37.5,37.81,37.29,7.53M,0.32%
6-Jan-11,38.37,37.96,38.4,37.74,7.16M,2.08%
7-Jan-11,38.45,38.38,38.54,38.05,6.44M,0.21%
10-Jan-11,38.45,38.54,38.65,38.01,5.73M,0.00%
11-Jan-11,39.08,38.53,39.1,38.34,5.57M,1.64%
12-Jan-11,38.86,39.23,39.33,38.81,5.87M,-0.56%
13-Jan-11,39.6,39.27,39.6,38.93,8.62M,1.90%
14-Jan-11,40.77,39.48,40.9,39.41,10.56M,2.95%
18-Jan-11,40.88,40.79,40.99,40.47,6.74M,0.27%
19-Jan-11,40.56,40.87,41.02,40.11,9.42M,-0.78%
20-Jan-11,40.31,40,40.5,39.37,11.29M,-0.62%
21-Jan-11,40.41,40.58,40.59,40.13,7.38M,0.25%
24-Jan-11,39.81,40.41,40.5,39.7,7.60M,-1.48%
25-Jan-11,40.62,39.69,41,39.65,10.00M,2.03%
26-Jan-11,40.25,40.59,41.13,40.11,8.94M,-0.91%
27-Jan-11,42.29,40.94,42.42,40.44,13.56M,5.07%
28-Jan-11,40.93,42.31,42.44,40.86,7.77M,-3.22%
31-Jan-11,41.05,41.02,41.32,40.71,7.32M,0.29%
1-Feb-11,42.07,41.36,42.18,41.29,9.07M,2.48%
2-Feb-11,41.95,41.74,42.26,41.67,4.29M,-0.29%
3-Feb-11,43.04,41.78,44.09,40.9,14.83M,2.60%
4-Feb-11,42.49,43.15,43.9,42.04,8.34M,-1.28%
7-Feb-11,41.81,42.14,42.26,41.57,7.11M,-1.60%
8-Feb-11,41.97,41.52,42.55,41.39,5.62M,0.38%
9-Feb-11,42.07,41.97,42.46,41.83,5.23M,0.24%
10-Feb-11,42.43,42.28,42.58,42.02,5.46M,0.86%
11-Feb-11,42.38,42.16,42.84,42.04,5.05M,-0.12%
14-Feb-11,42.46,42.24,42.51,41.62,3.75M,0.19%
15-Feb-11,42.03,42.11,42.46,41.89,4.39M,-1.01%
16-Feb-11,42.5,42.2,42.56,41.99,4.99M,1.12%
17-Feb-11,42.59,42.34,42.75,42.15,4.82M,0.21%
18-Feb-11,42.84,42.69,43.3,42.56,6.03M,0.59%
22-Feb-11,42.96,43.86,44.33,42.73,10.74M,0.28%
23-Feb-11,42.91,42.58,43.69,42.56,7.10M,-0.12%
24-Feb-11,42.75,42.83,43.35,42.38,6.31M,-0.37%
25-Feb-11,42.52,42.85,43.02,42.41,5.50M,-0.54%
28-Feb-11,42.58,42.67,42.94,42.35,6.65M,0.14%
1-Mar-11,42.45,42.56,42.96,42.38,5.55M,-0.31%
2-Mar-11,43.56,42.55,43.79,42.45,7.23M,2.61%
3-Mar-11,44.79,44.27,44.89,43.74,8.74M,2.82%
4-Mar-11,44.45,44.64,44.86,43.87,5.62M,-0.76%
7-Mar-11,43.56,44.47,44.77,43.31,6.09M,-2.00%
8-Mar-11,43.83,43.6,44.1,43.12,4.70M,0.62%
9-Mar-11,44.49,43.91,44.51,43.53,4.56M,1.51%
10-Mar-11,43.79,44.29,44.29,43.6,5.13M,-1.57%
11-Mar-11,43.59,43.88,44.06,43.26,4.78M,-0.46%
14-Mar-11,43.16,43.3,43.43,42.85,4.52M,-0.99%
15-Mar-11,42.79,42.34,43.08,42.16,4.40M,-0.86%
16-Mar-11,41.86,42.68,42.69,41.46,7.15M,-2.17%
17-Mar-11,42.27,42.4,42.73,41.91,5.85M,0.98%
18-Mar-11,42.6,42.37,42.85,42.3,7.38M,0.78%
21-Mar-11,43.19,42.83,43.43,42.66,4.59M,1.38%
22-Mar-11,42.74,43.26,43.71,42.66,4.51M,-1.04%
23-Mar-11,42.75,42.64,42.87,42.39,3.35M,0.02%
24-Mar-11,43.8,43.24,43.94,43.01,3.92M,2.46%
25-Mar-11,43.75,43.63,44.02,43.6,4.19M,-0.11%
28-Mar-11,43.87,43.91,44.05,43.51,3.53M,0.27%
29-Mar-11,44.48,43.75,44.48,43.75,4.20M,1.39%
30-Mar-11,45.4,44.72,45.58,44.58,6.54M,2.07%
31-Mar-11,45.2,45.64,45.75,45.11,5.38M,-0.44%
1-Apr-11,45.61,45.5,45.74,45.3,4.52M,0.91%
4-Apr-11,45.6,45.94,46.09,45.52,3.50M,-0.02%
5-Apr-11,45.09,44.86,45.27,44.78,4.95M,-1.12%
6-Apr-11,44.96,45.19,45.26,44.83,5.16M,-0.29%
7-Apr-11,44.43,44.77,48.58,44.42,7.71M,-1.18%
8-Apr-11,44.38,44.62,45.24,44.14,4.73M,-0.11%
11-Apr-11,44.32,44.33,44.49,43.84,6.05M,-0.14%
12-Apr-11,44.81,44.19,44.9,44.03,3.96M,1.11%
13-Apr-11,44.33,44.88,45.17,44.08,4.77M,-1.07%
14-Apr-11,44.82,44.2,44.98,43.87,4.72M,1.11%
15-Apr-11,44.98,45,45.08,44.57,5.78M,0.36%
18-Apr-11,43.55,44.53,44.61,43.35,6.73M,-3.18%
19-Apr-11,43.96,43.6,43.97,43.3,5.73M,0.94%
20-Apr-11,44.24,44.78,44.78,44.18,5.18M,0.64%
21-Apr-11,47.81,48.09,48.9,47.56,18.37M,8.07%
25-Apr-11,47.71,47.14,48.14,47.08,6.65M,-0.21%
